,Statistic,#,Full Name,Ht.,Wt.,Pos.,Academic Year,Hometown,Current School Name,High School,Previous School,Instagram,Twitter,Image,Name,Title
21,,14.0,DJ Allen,5-11,195.0,WR,R-Fr.,"Gladewater, Texas",TCU,Gladewater High School,,_datsdj,_datsdj,,,
22,,14.0,Randon Fontenette,6-3,205.0,S,Fr.,"Freeport, Texas",TCU,Brazosport High School,,gogettarando,@randonfontenet3,,,
23,,15.0,Jack Bech,6-2,215.0,WR,Jr.,"Layfayette, La.",TCU,St. Thomas More High School,LSU,jacbech,@jackbech7,,,
24,,15.0,Josh Foster,6-2,200.0,S,Sr.,"Newton, Texas",TCU,Newton High School,,j.foster_5,jfoster_19,,,
25,,16.0,Cam Cook,5-11,185.0,RB,Fr.,"Round Rock, Texas",TCU,Stony Point High School,,cam.cook__4,@camcook_4,,,
26,,17.0,Trent Battle,6-1,205.0,RB,So.,"Daphne, Ala.",TCU,Daphne High School,,t.battle17,TrentBattle,,,
27,,17.0,Jonathan Bax,6-3,235.0,LB,Fr.,"New Orleans, La.",TCU,Edna Karr High School,,_jaybaxx7,@jonathanbax,,,
28,,18.0,Ish Burdine,6-1,200.0,CB,Jr.,"Slidell, La.",TCU,Slidell High School,Missouri,,ish_burddd,,,
29,,18.0,Kyle Overton,6-2,202.0,QB,Jr.,"Round Rock, Texas",TCU,Stony Point High School,,,,,,
30,,18.0,JP Richardson,6-0,180.0,WR,Jr.,"Missouri City, Texas",TCU,Ridge Point High School,Oklahoma State,jprichardsonn,@jprichardson17,,,
31,,19.0,Shadrach Banks,6-1,250.0,LB,Jr.,"Houston, Texas",TCU,North Shore High School,Texas A&M,ShadrachBanks,ShadrachBanks,,,
32,,19.0,Jacob Porter,6-2,176.0,QB,R-Fr.,"Fort Worth, Texas",TCU,Timber Creek High School,,jacobporter10_,@jacobporter10Qb,,,
33,,19.0,Jared Wiley,6-7,255.0,TE,Sr.,"Temple, Texas",TCU,Temple High School,Texas,10_wiley,Jaredwiley23,,,
34,,20.0,Ronald Lewis,6-1,175.0,CB,R-Fr.,"New Orleans, La.",TCU,Warren Easton High School,,chaamp20,champlew5,,,
35,,21.0,Corey Wren,5-10,200.0,RB,Jr.,"New Orleans, La.",TCU,John Curtis Christian School,Florida State,coreywren16,coreylwren,,,
36,,22.0,Major Everhart,5-11,180.0,WR,R-Fr.,"Amarillo, Texas",TCU,Tascosa High School,,c.m.e16,MajorEverhart,,,
37,,23.0,Trevor Ailey,5-11,192.0,RB,Sr.,"Cushing, Okla.",TCU,Cushing High School,Oklahoma State,tdailey11,tdailey11,,,
38,,24.0,Brant Ahlfinger,5-10,216.0,RB,R-Fr.,"Fort Worth, Texas",TCU,All Saints' Episcopal School,,brant_ahlfinger,@33bahlfinger,,,
39,,24.0,Avery Helm,6-1,185.0,CB,Jr.,"Missouri City, Texas",TCU,Fort Bend Marshall High School,The University of Florida,fmb.helm,fmb_helm,,,
40,,25.0,Jamel Johnson,6-1,190.0,S,Fr.,"Arlington, Texas",TCU,Seguin High School,,_.big5starj,@lil_smoove55,,,
41,,26.0,Bud Clark,6-2,190.0,S,So.,"Alexandria, La.",TCU,Alexandria High School,,_kiid.clark_,ClarkJadarius,,,
42,,26.0,Ahmon Dozier,5-8,170.0,RB,Fr.,"Royse City, Texas",TCU,Royse City High School,,champdozier1,@champ_dozier,,,
43,,27.0,Jordyn Bailey,5-10,180.0,WR,Fr.,"Denton, Texas",TCU,Ryan High School,,iam_jkb,@jordynbailey20,,,
44,,27.0,Jaionte McMillan,5-11,185.0,CB,So.,"Atlanta, Ga.",TCU,Rockdale County High School,,jaionte,JaionteM,,,
45,,28.0,Millard Bradford,5-11,190.0,S,Sr.,"Helotes, Texas",TCU,O'Connor High School,Fork Union Military Academy,knook_7,NookBradford,,,
46,,30.0,Kylan Salter,6-2,215.0,LB,Fr.,"Cedar Hill, Texas",TCU,Cedar Hill High School,,ksalt3x,@kylansalter,,,
47,,31.0,Jake Milliman,6-3,190.0,S,Fr.,"Lake Forest, Ill.",TCU,Lake Forest High School,,jakemilliman_,jake_milliman,,,
48,,31.0,Jordy Sandy,6-3,218.0,P,Sr.,"Traralgon, Australia",TCU,,ProKick Australia,jordy.sandy,jordysandy31,,,
49,,32.0,Kevin Ward,6-0,202.0,S,So.,"Springfield, Mo.",TCU,Kickapoo High School,,_kevinward_,,,,
50,,34.0,Zach Marcheselli,6-2,219.0,LB,Jr.,"Broken Arrow, Okla.",TCU,Broken Arrow High School,,zach_marcheselli,Z_Money21BA,,,
51,,34.0,Luke Washington,6-0,200.0,RB,Fr.,"Collierville, Tenn.",TCU,St. George's High School,,lukewash1ngton,@lukewash1ngton,,,
52,,35.0,Colton Dobson,5-11,170.0,WR,So.,"Nolensville, Tenn.",TCU,Nolensville High School,,colton.dobson_3,CTDobson3,,,
53,,35.0,Joshua Spaeth,5-9,167.0,S,Fr.,"Southlake, Texas",TCU,Southlake Carroll High School,,joshuamspaeth,@Spaeth_Joshua,,,
54,,36.0,Joe Laterza,6-5,206.0,LS,So.,"Arlington Heights, Ill.",TCU,Saint Viator High School,,joelaterza,laterza_joe,,,
55,,36.0,Ryan Quintanar,6-0,218.0,LB,So.,"Los Angeles, Calif.",TCU,Loyola High School,,rquintanar5,ryan_quintanar,,,
56,,38.0,Josh Contreras,6-2,190.0,S,So.,"Rancho Santa Margarita, California",TCU,Santa Margarita Catholic High School,,_joshcontreras,@2Contrerasqb,,,
57,,38.0,Jack Stein,5-11,215.0,LS,So.,"Orange, Calif.",TCU,El Modena High School,Utah,jackstein27,@jackstein27,,,
58,,39.0,Griffin Kell,6-0,193.0,PK,Sr.,"Arlington, Texas",TCU,Arlington High School,,griffinkell,griffin_kell,,,
59,,39.0,Matthew Kerr,6-4,210.0,LB,So.,"Mason, Texas",TCU,Mason High School,,matthewkerr12,MattKerr2021,,,
60,,40.0,Franklin Estrada II,5-11,188.0,RB,So.,"Carrollton, Texas",TCU,Hebron High School,,fjestradaii,fjestradaii,,,
61,,40.0,Keviyan Huddleston,6-2,245.0,DL,Fr.,"Tyler, Texas",TCU,Chapel Hill High School,,ittkeviyan,@keviyan7,,,
62,,41.0,Hunter Krepp,6-1,170.0,WR,R-Fr.,"Dallas, Texas",TCU,Jesuit Dallas,,hunterkrepp,@HunterKrepp,,,
63,,41.0,TJ Willson,6-0,224.0,LB,R-Fr.,"Loomis, Calif.",TCU,Del Oro High School,,anthony.willson2,anthonywillson9,,,
64,,42.0,Zachary Chapman,6-5,255.0,DL,Fr.,"Missouri City, Texas",TCU,Fort Bend Marshall High School,,zachthereaper,@itszachszn,,,
65,,42.0,Brent Matiscik,6-2,235.0,TE,Jr.,"McKinney, Texas",TCU,McKinney Boyd High School,,brentmatiscik,BrentMatiscik,,,
66,,43.0,Blake Baldwin,6-0,225.0,LB,So.,"Clovis, Calif.",TCU,Clovis East High School,,blakebaldwin43,BlakeBaldwin43,,,
67,,43.0,Joe Staubach,6-1,185.0,WR,R-Fr.,"Dallas, Texas",TCU,Jesuit Dallas,,joe_staubach10,,,,
68,,44.0,Ben Reppenhagen,6-3,247.0,TE,So.,"Edina, Minn.",TCU,Saint Thomas Academy,,benreppenhagen25,reppenhagen_ben,,,
69,,46.0,Daveion Crawford,5-11,204.0,S,Sr.,"La Porte, Texas",TCU,La Porte High School,Ellsworth Community College,Crawford_x_,,,,
70,,47.0,Jake Boozer,6-2,232.0,LB,So.,"Waco, Texas",TCU,Bishop Louis Reicher Catholic School,,jake___boozer,boozer_jake,,,
71,,47.0,Leland Smith,6-4,195.0,WR,Fr.,"Houston, Texas",TCU,Strake Jesuit College Preparatory,,,@itslelandsmith,,,
72,,48.0,Zimbalist Odhams III,5-9,165.0,CB,Jr.,"Mansfield, Texas",TCU,Lake Ridge High School,Southwestern Oklahoma State,zimbalist_3,zimbalist_O,,,
73,,48.0,Peter Vanis,5-11,180.0,WR,Fr.,"Los Angeles, California",TCU,Loyola High School,,petervanis3,@Vanispeter,,,
74,,49.0,Austin Scheets,6-8,190.0,TE,So.,"Colleyville, Texas",TCU,Covenant Christian Academy,Weatherford College,austinscheets_,@AustinScheets,,,
75,,50.0,Brione Ramsey-Brooks,6-5,360.0,OL,Fr.,"Dallas, Texas",TCU,South Oak Cliff High School,,4pf.bubba,@BrioneBrooks,,,
76,,51.0,Luke Lingard,6-1,216.0,LB,So.,"Colleyville, Texas",TCU,Colleyville Heritage High School,,_lukelingard,lingard_luke,,,
77,,52.0,Ezra Dotson-Oyetade,6-3,285.0,OL,So.,"Garland, Texas",TCU,Lakeview Centennial High School,Arizona State,,ezraoyetade,,,
78,,52.0,Damonic Williams,6-2,320.0,DL,So.,"Torrance, Calif.",TCU,Alemany High School,,dominic_5_2,DamonicWilliams,,,
79,,53.0,John Lanz,6-4,320.0,OL,Sr.,"Argyle, Texas",TCU,Guyer High School,,johnlanziv,JohnLanzIV,,,
80,,53.0,Grant Mastin,6-1,225.0,LB,Fr.,"Jackson, Ohio",TCU,Jackson High School,,grant_mastin,@mastin_grant,,,
81,,54.0,Quinton Harris,6-8,300.0,OL,R-Fr.,"Arlington, Texas",TCU,Seguin High School,,__quint0n,QuintonHarris55,,,
82,,54.0,Luke Splaine,6-1,230.0,LB,Jr.,"San Jose, Calif.",TCU,Bellarmine Prep,Foothill College,lukesplaine,@lukesplaine8,,,
83,,55.0,Dalton Plitt,6-3,220.0,DL,Fr.,"Missouri City, Texas",TCU,Ridge Point High School,,,@Daltonplitt,,,
84,,55.0,Robby Rochester,6-5,290.0,OL,So.,"Southlake, Texas",TCU,Carroll High School,UConn,robby_rochester_,rochesterrobby,,,
85,,56.0,Trenton Dickey,6-4,245.0,DL,Jr.,"Hardin, Texas",TCU,Hardin High School,,trentondickey2442,@trentondickey24,,,
86,,56.0,Ben Taylor-Whitfield,6-6,290.0,OL,Fr.,"Duncanville, Texas",TCU,Duncanville High School,,10k_bigben,@d1_whitfield16,,,
87,,57.0,Johnny Hodges,6-2,240.0,LB,Jr.,"Darnestown, Md.",TCU,Quince Orchard High School,Navy,johnnyhodges11,johnnyhodges57,,,
88,,59.0,Blake Jones,6-2,240.0,DL,R-Fr.,"Brenham, Texas",TCU,Brenham High School,,the.blake.jones,@BlakeJones290,,,
89,,61.0,Riley Self,6-4,295.0,OL,So.,"Lufkin, Texas",TCU,Lufkin High School,,rileyself,rself21,,,
90,,67.0,Hudson White,6-2,289.0,OL,So.,"Abilene, Texas",TCU,Wylie High School,,hudsonwhite_67,,,,
91,,68.0,Michael Nichols,6-5,301.0,OL,Jr.,"Justin, Texas",TCU,Northwest High School,,mikeduhgoat,MichaelNic68,,,
92,,69.0,Gannon Gaubert,6-1,296.0,OL,R-Fr.,"Dallas, Texas",TCU,Highland Park High School,,biggannon2003,@GannonGaubert,,,
93,,71.0,Marcus Williams,6-7,331.0,OL,Jr.,"Longview, Texas",TCU,Longview High School,,mj._will,MarcusW2019,,,
94,,72.0,Jasper Lott,6-5,290.0,OL,So.,"Argyle, Texas",TCU,Argyle High School,,jasper_lott86,JLott87,,,
95,,73.0,Willis Patrick,6-4,347.0,OL,Sr.,"Grand Prairie, Texas",TCU,Mansfield High School,Jackson State,willpat.73,@_wayofchais,,,
96,,74.0,Andrew Coker,6-7,315.0,OL,Jr.,"Katy, Texas",TCU,James E. Taylor High School,,andrew.coker74,ACoker74,,,
97,,76.0,Garrett Hayes,6-5,320.0,OL,Jr.,"Athens, Texas",TCU,Athens High School,,garretthayes99,GarrettHayes2,,,
98,,77.0,Brandon Coleman,6-6,325.0,OL,Sr.,"Denton, Texas",TCU,Denton High School,Trinity Valley Community College,brandon.coleman77,B_Coleman00,,,
99,,79.0,Tommy Brockermeyer,6-5,305.0,OL,So.,"Fort Worth, Texas",TCU,All Saints' Episcopal School,Alabama,tommybrockermeyer,@TBrockermeyer,,,
100,,80.0,D'Andre Rogers,6-4,240.0,TE,So.,"Sammamish, Wash.",TCU,Eastside Catholic High School,,djrogers1,DandreRogers1,,,
101,,81.0,Chase Curtis,6-5,230.0,TE,Sr.,"Pittsburg, Kan.",TCU,Pittsburg High School,Neosho County Community College,curtis_09,chasecurtis_09,,,
102,,82.0,Alex Honig,6-6,265.0,TE,So.,"Bavaria, Germany",TCU,Schwäbisch Hall Unicorns,,alex_honig,AlexanderHonig1,,,
103,,83.0,Keagan Cunningham,6-2,179.0,WR,So.,"Denton, Texas",TCU,Ryan High School,,keaganc81,KeaganCunn81,,,
104,,84.0,Lafayette Kaiuway,6-6,250.0,TE,Fr.,"Arlington, Texas",TCU,Sam Houston High School,,fieldbully,@litkj09,,,
105,,85.0,Parker Clark,6-1,190.0,WR,R-Fr.,"Fort Worth, Texas",TCU,All Saints' Episcopal School,,,@parker_clark4,,,
106,,86.0,Drew Scott,6-2,192.0,WR,Sr.,"Dallas, Texas",TCU,Highland Park High School,,drew.scott5,drew_scott3,,,
107,,87.0,Blake Nowell,6-4,205.0,WR,Jr.,"Ardmore, Okla.",TCU,Plainview High School,,blake_nowell,BlakeNowell,,,
108,,88.0,Curtis Raymond III,6-4,208.0,TE,Sr.,"Dripping Springs, Texas",TCU,Dripping Springs High School,Cornell,curtisdwight3,curtisdwightIII,,,
109,,89.0,Stayton Ankrom,6-2,205.0,WR,R-Fr.,"San Antonio, Texas",TCU,Reagan High School,,staytonankrom,,,,
110,,90.0,Caleb Fox,6-3,295.0,DL,Jr.,"The Woodlands, Texas",TCU,The Woodlands High School,Stephen F. Austin,Caleb.f0x,calebfox_,,,
111,,91.0,Tymon Mitchell,6-3,315.0,DL,Jr.,"Nashville, Tenn.",TCU,Franklin Road Academy,Georgia,615_mitchy_,tmitch1567,,,
112,,92.0,Luke Dodds,6-4,242.0,DL,So.,"Round Rock, Texas",TCU,Round Rock High School,,Luke_dodds92,Luke_dodds42,,,
113,,94.0,Micheal Ibukun-Okeyode,6-6,250.0,DL,R-Fr.,"Garland, Texas",TCU,Rowlett High School,,michealibukun94,OkeyodeMicheal,,,
114,,95.0,Markis Deal,6-5,310.0,DL,Fr.,"Garland, Texas",TCU,Naaman Forest High School,,thedealkid11,@MarkisDeal11,,,
115,,96.0,Connor Lingren,6-5,305.0,DL,R-Fr.,"College Station, Texas",TCU,College Station High School,,Connor.lingren,connorlingren,,,
116,,96.0,Mark Sayegh,6-0,160.0,PK,Fr.,"Austin, Texas",TCU,Westlake High School,,mark_sayegh12,@marksayegh6,,,
117,,97.0,Easton Black,6-3,200.0,PK/P,R-Fr.,"Peoria, Ariz.",TCU,Sunrise Mountain High School,,easton.black,@easton_black,,,
118,,97.0,Paul Oyewale,6-4,270.0,DL,R-Fr.,"Houston, Texas",TCU,Langham Creek High School,,paulthegoat33,pauloyewale3,,,
119,,98.0,Avion Carter,6-4,270.0,DL,Fr.,"Amarillo, Texas",TCU,Tascosa High School,,avion_carter1,@avioncarter5,,,
120,,98.0,Logan Frederic,6-3,190.0,LS,R-Fr.,"Littleton, Colo.",TCU,Heritage High School,,l.o.g.a.n.f,@LoganFrederic42,,,
121,,99.0,Luke Laminack,5-11,173.0,PK,So.,"Amarillo, Texas",TCU,Amarillo High School,,luke_laminack,@luke_laminack,,,
122,,99.0,Soni Misi,6-2,320.0,DL,Sr.,"Rohnert Park, Calif.",TCU,Rancho Cotate High School,Santa Rosa Junior College,soni_misi,Misi_64,,,
123,,,Max Carroll,6-3,215.0,LB,Fr.,"Memphis, Tenn.",TCU,Briarcrest Christian High School,,_maxwellcarroll,@max_carroll2,,,
124,,,Rohan Fluellen,6-0,180.0,WR,Fr.,"Gilmer, Texas",TCU,Gilmer High School,,rohan_fluellen17,@rohanfluellen17,,,
125,,,Vernon Glover,6-1,175.0,DB,Fr.,"Dickinson, Texas",TCU,Dickinson High School,,vernongloverjr,@vjglover2023,,,
126,,,Jordan Lester,6-2,185.0,DB,Fr.,"Mesquite, Texas",TCU,Horn High School,,jordanlester_,@jordan_lester13,,,
127,,,Cooper Powers,6-5,290.0,OL,Fr.,"Concord, Calif",TCU,De La Salle High School,,cooper_powers,@cooperpowers2,,,
128,,,Mike Stoker,6-5,315.0,OL,Fr.,"Dallas, Texas",TCU,South Oak Cliff High School,,mike_fromdao,@NaradoJ,,,
129,,,Javeon Wilcox,6-1,200.0,DB,Fr.,"Temple, Texas",TCU,Lake Belton High School,,boomm1k_,@boomm1k,,,
0,,,,,,,,,TCU,,,,,,Sonny Dykes,Head Coach | 2nd Season
1,,,,,,,,,TCU,,,,,,Kendal Briles,Associate Head Coach / Offensive Coordinator / Quarterbacks | 1st Season
2,,,,,,,,,TCU,,,,,,Joe Gillespie,Defensive Coordinator / Linebackers | 2nd Season
3,,,,,,,,,TCU,,,,,,A.J. Ricker,Co-Offensive Coordinator / Offensive Line | 2nd Season
4,,,,,,,,,TCU,,,,,,Carlton Buckels,Cornerbacks Coach | 2nd Season
5,,,,,,,,,TCU,,,,,,Paul Gonzales,Safeties Coach | 12th Season
6,,,,,,,,,TCU,,,,,,Anthony Jones Jr.,Running Backs Coach / Run Game Coordinator | 2nd Season
7,,,,,,,,,TCU,,,,,,Malcolm Kelly,Assistant Head Coach / Outside Receivers Coach | 5th Season
8,,,,,,,,,TCU,,,,,,JaMarkus McFarland,Defensive Line Coach | 2nd Season
9,,,,,,,,,TCU,,,,,,Doug Meacham,Inside Receivers Coach | 7th Season
10,,,,,,,,,TCU,,,,,,Mark Tommerdahl,Special Teams Coordinator | 2nd Season
0,,,,,,,,,TCU,,,,,,Anthony Crespino,Associate Athletics Director for Football | 2nd Season
1,,,,,,,,,TCU,,,,,,Matt Lewis,Assistant Athletics Director for Player Development | 21st Season
2,,,,,,,,,TCU,,,,,,Jeff Jordan,Assistant Athletics Director for Player Personnel | 2nd Season
3,,,,,,,,,TCU,,,,,,Tyler Olker,Director of Player Personnel | 2nd Season
4,,,,,,,,,TCU,,,,,,Joe Grilz,Director of NFL and Scouting Relations | 2nd Season
5,,,,,,,,,TCU,,,,,,Eron Hodges,Director of Recruiting / Defensive Analyst | 2nd Season
6,,,,,,,,,TCU,,,,,,Dave Roberson,Director of Recruiting Strategy | 1st Season
7,,,,,,,,,TCU,,,,,,Sarah Woodruff,Director of Football Operations | 2nd Season
8,,,,,,,,,TCU,,,,,,Mitch Kirsch,Senior Offensive Analyst | 2nd Season
9,,,,,,,,,TCU,,,,,,Mike Anthony,Senior Offensive Analyst | 1st Season
10,,,,,,,,,TCU,,,,,,Mark Cala,Offensive Analyst | 1st Season
11,,,,,,,,,TCU,,,,,,Mookie Carlile,Defensive Analyst | 2nd Season
12,,,,,,,,,TCU,,,,,,Josh Creech,Defensive Analyst | 2nd Season
13,,,,,,,,,TCU,,,,,,Bonner Bordelon,Special Teams Analyst | 2nd Season
14,,,,,,,,,TCU,,,,,,Lauren Craine,Director of On-Campus Recruiting | 1st Season
15,,,,,,,,,TCU,,,,,,Tyler Bullard,Director of Football Video | 2nd Season
16,,,,,,,,,TCU,,,,,,Jason Andrews,Director of Football Creative Media | 2nd Season
17,,,,,,,,,TCU,,,,,,Michaela Schumacher,Assistant Director of Football Creative Media | 2nd Season
18,,,,,,,,,TCU,,,,,,Maddie Anderson,Director of Football Graphic Design | 2nd Season
19,,,,,,,,,TCU,,,,,,Jon Petrie,Coordinator of Creative Video | 2nd Season
20,,,,,,,,,TCU,,,,,,Kaz Kazadi,Assistant Athletics Director for Football Human Performance | 2nd Season
21,,,,,,,,,TCU,,,,,,David Gable,Associate Athletics Director for Sports Medicine | 21st Season
22,,,,,,,,,TCU,,,,,,Jason Jones,Director of Football Equipment | 2nd Season
23,,,,,,,,,TCU,,,,,,Jacob Oehrlein,Graduate Assistant - Offense | 2nd Season
24,,,,,,,,,TCU,,,,,,Matthew Oubre,Graduate Assistant - Offense | 2nd Season
25,,,,,,,,,TCU,,,,,,Peyton Searcy,Graduate Assistant - Defense | 2nd Season
26,,,,,,,,,TCU,,,,,,Emily Devers,Graduate Assistant – Coaches Video | 2nd Season
27,,,,,,,,,TCU,,,,,,Luke Heslep,Graduate Assistant - Creative Video | 2nd Season
28,,,,,,,,,TCU,,,,,,Andrea Roberts,Coordinator of Office Services | 5th Season
