,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Current School Name,Previous School,Image,Name,Title
93,,,Austin Gonzalez,QB,5-11,,Fr.,"Plano, Texas / Lovejoy HS",Southern Miss,,,,
94,,,JQ Gray,RB,5-9,,Fr.,"Hattiesburg, Miss. / Oak Grove HS",Southern Miss,,,,
95,,,Chris Hayes,OL,6-3,,Fr.,"Starkville, Miss. / Starkville HS",Southern Miss,,,,
96,,,Tre'Mon Henry,LB,6-2,,Fr.,"Columbus, Ga. / Carver HS",Southern Miss,,,,
97,,,Jacob Johnson,LB,6-2,,Fr.,"Covington, La. / St. Paul's HS",Southern Miss,,,,
98,,,Wildrekus Johnson,DB,6-2,,Fr.,"Tylertown, Miss. / Tylertown HS",Southern Miss,,,,
99,,,Miles Jones,SAF,-,,Fr.,"Byhalia, Miss. / Byhalia HS",Southern Miss,,,,
100,,,Cameron Mackey,DL,6-3,,Fr.,"Clarksdale, Miss. / Clarksdale HS",Southern Miss,,,,
101,,,Exavious Reed,TE,6-4,,Fr.,"LaGrange, Ga. / Callaway HS",Southern Miss,,,,
102,,,Justyn Reid,TE,6-6,,Fr.,"Newnan, Ga. / Newnan HS",Southern Miss,,,,
103,,,Jack Schwing,,-,,Fr.,"Metairie, La. / Metairie Park Country Day School",Southern Miss,,,,
104,,,Tanner Welch,OL,6-7,,Fr.,"Brandon, Miss. / Northwest Rankin HS",Southern Miss,,,,
105,,,Sentario Willis,DB,6-2,,Fr.,"Hazelhurst, Miss. / Hazelhurst HS",Southern Miss,,,,
0,,,,,,,,,Southern Miss,,,Will Hall,Head Coach
1,,,,,,,,,Southern Miss,,,Reed Stringer,Assistant Head Coach / General Manager
2,,,,,,,,,Southern Miss,,,Dan O'Brien,Defensive Coordinator / Safeties
3,,,,,,,,,Southern Miss,,,Sam Gregg,Offensive Coordinator / Offensive Line Coach
4,,,,,,,,,Southern Miss,,,Cayden Cochran,Tight Ends
5,,,,,,,,,Southern Miss,,,Mark Criner,Outside Linebackers
6,,,,,,,,,Southern Miss,,,Jordy Joseph,Quarterbacks
7,,,,,,,,,Southern Miss,,,Brandon Lacy,Defensive Line
8,,,,,,,,,Southern Miss,,,Desmond Lindsey,Wide Receivers / Pass-Game Coordinator
9,,,,,,,,,Southern Miss,,,Greg Meyer,Special Teams Coordinator / Running Backs
10,,,,,,,,,Southern Miss,,,Chad Williams,Inside Linebackers / Run-Game Coordinator
11,,,,,,,,,Southern Miss,,,Dwike Wilson,Cornerbacks
12,,,,,,,,,Southern Miss,,,Tad Blaylock,Director of Football Operations
13,,,,,,,,,Southern Miss,,,Joe Moreno,Director of Player Personnel
0,,,,,,,,,Southern Miss,,,Lance Ancar,Head Strength and Conditioning Coach
