,Statistic,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High school,#,Current School Name,Image,Name,Title
16,,"Rodriguez, Jacob",LB,6-1,245.0,Jr.,"Wichita Falls, Texas / Rider",10.0,Texas Tech,,,
17,,"Fouonji, Loic",WR,6-4,215.0,Sr.,"Midland, Texas / Midland Lee",11.0,Texas Tech,,,
18,,"Peoples, Jalon",DB,5-11,185.0,R-Fr.,"Cedar Hill, Texas / Cedar Hill",12.0,Texas Tech,,,
19,,"Shough, Tyler",QB,6-5,230.0,Sr.,"Chandler, Ariz. / Hamilton",12.0,Texas Tech,,,
20,,"Boyd, Brady",WR,6-1,195.0,Jr.,"Southlake, Texas / Carroll",13.0,Texas Tech,,,
21,,"Adedire, Joseph",OLB,6-3,280.0,So.,"Mansfield, Texas / Mansfield Summit",14.0,Texas Tech,,,
22,,"White, Xavier",WR,6-0,195.0,S-Sr.,"Lubbock, Texas / Monterey",14.0,Texas Tech,,,
23,,"Wooten, Robert",DL,6-3,265.0,Jr.,"Stafford, Texas / Stafford",15.0,Texas Tech,,,
24,,"York, Jayden",TE,6-4,250.0,Jr.,"Austin, Texas / Bowie",15.0,Texas Tech,,,
25,,"Morris, Jaden",QB,5-11,210.0,R-Fr.,"Arlington, Texas / Lamar",16.0,Texas Tech,,,
26,,"Smith, Isaac",OLB,6-6,240.0,So.,"Wagoner, Okla. / Wagoner",17.0,Texas Tech,,,
27,,"Strong, Jake",QB,6-1,210.0,Fr.,"Justin, Texas / Justin Northwest",17.0,Texas Tech,,,
28,,"LaFebre, Cooper",QB,6-1,180.0,So.,"Lubbock, Texas / Cooper",18.0,Texas Tech,,,
29,,"Owens, Tyler",DB,6-2,205.0,S-Sr.,"Plano, Texas / Plano East",18.0,Texas Tech,,,
30,,"Spencer, Dylan",OLB,6-5,245.0,Fr.,"Orange, Texas / C.E. King",19.0,Texas Tech,,,
31,,"Elder, Gage",LB,5-11,225.0,So.,"Rockwall, Texas / Rockwall",20.0,Texas Tech,,,
32,,"Martinez I, Nehemiah",WR,5-9,205.0,Jr.,"Lubbock, Texas / Cooper",20.0,Texas Tech,,,
33,,"King, Tyler",WR,5-9,185.0,R-Fr.,"Houston, Texas / Alief Taylor",21.0,Texas Tech,,,
34,,"Watts, Cameron",DB,5-11,200.0,S-Sr.,"Tulsa, Oklahoma / Union",21.0,Texas Tech,,,
35,,"Donnell, Bryson",RB,5-10,220.0,R-Fr.,"Tyler, Texas / Tyler Legacy",22.0,Texas Tech,,,
36,,"Horn, Maurion",DB,5-11,175.0,R-Fr.,"Broken Arrow, Okla. / Broken Arrow",22.0,Texas Tech,,,
37,,"Hullaby, Landon",DB,6-0,205.0,R-Fr.,"Mansfield, Texas / Mansfield Timberview",23.0,Texas Tech,,,
38,,"Dunlap, Malik",DB,6-3,220.0,S-Sr.,"Charlotte, N.C. / Harding University",24.0,Texas Tech,,,
39,,"Willis, Anquan",RB,6-0,220.0,Fr.,"Wichita Falls, Texas / Rider",24.0,Texas Tech,,,
40,,"Lewis, Chapman",DB,6-1,180.0,Fr.,"Burleson, Texas / Burleson Centennial",25.0,Texas Tech,,,
41,,"Morris IV, Sammy",DB,6-1,205.0,So.,"Prosper, Texas / Prosper",26.0,Texas Tech,,,
42,,"Jordan, Brenden",DB,6-0,210.0,Fr.,"Mansfield, Texas / Mansfield",27.0,Texas Tech,,,
43,,"Brooks, Tahj",RB,5-10,230.0,Sr.,"Manor, Texas / Manor",28.0,Texas Tech,,,
44,,"Sanford, Jordan",DB,6-0,195.0,Fr.,"Arlington, Texas / Mansfield Timberview",28.0,Texas Tech,,,
45,,"Collins, Chief",DB,5-11,205.0,So.,"Lucas, Texas / Lovejoy",29.0,Texas Tech,,,
46,,"Knotts, Jackson",LS,5-11,190.0,Jr.,"Plant City, Fla. / Plant City",30.0,Texas Tech,,,
47,,"McNamara, Austin",P,6-4,210.0,S-Sr.,"Gilbert, Ariz. / Highland",31.0,Texas Tech,,,
48,,"Plunk, Joseph",DB,5-10,180.0,Jr.,"Amarillo, Texas / Tascosa",31.0,Texas Tech,,,
49,,"Matthews, Tyrique",LB,5-11,235.0,S-Sr.,"Houston, Texas / Eisenhower",32.0,Texas Tech,,,
50,,"Campbell, Clazarion",RB,5-9,190.0,So.,"Saginaw, Texas / Saginaw",33.0,Texas Tech,,,
51,,"Young, Matthew",LB,6-1,245.0,S-Sr.,"Las Cruces, N.M. / Oñate",33.0,Texas Tech,,,
52,,"Robinson, Bryce",LB,6-2,235.0,Sr.,"Sachse, Texas / Sachse",34.0,Texas Tech,,,
53,,"Dingle, Miquel",LB,6-2,220.0,Fr.,"Charleston, S.C. / Byrnes",35.0,Texas Tech,,,
54,,"Grando, James",OLB,6-2,230.0,Jr.,"Arlington, Texas / Lamar",36.0,Texas Tech,,,
55,,"Honore Jr., Brook",P,6-0,185.0,R-Fr.,"Manvel, Texas / Manvel",37.0,Texas Tech,,,
56,,"Mara, Alpha",DB,6-1,160.0,Sr.,"Austin, Texas / Akins",37.0,Texas Tech,,,
57,,"Showalter, Gabe",PK,5-10,195.0,So.,"St. Martin, Miss. / St. Martin",38.0,Texas Tech,,,
58,,"Robinson, Charles",TE,6-0,255.0,So.,"Lubbock, Texas / Coronado",39.0,Texas Tech,,,
59,,"Smith, Wesley",LB,5-10,220.0,So.,"Midland, Texas / Legacy",40.0,Texas Tech,,,
60,,"Kana, Ty",LB,6-2,230.0,R-Fr.,"Katy, Texas / Katy",41.0,Texas Tech,,,
61,,"Teeter, Henry",TE,6-4,255.0,S-Sr.,"San Angelo, Texas / Central",43.0,Texas Tech,,,
62,,"Tilmon, Terrell",OLB,6-5,225.0,So.,"Mansfield, Texas / Timberview",45.0,Texas Tech,,,
63,,"Roberts, Ben",LB,6-3,230.0,R-Fr.,"Haslet, Texas / Eaton",46.0,Texas Tech,,,
64,,"Allen, Tanner",DL,6-3,265.0,R-Fr.,"Bryan, Texas / Bryan",47.0,Texas Tech,,,
65,,"Harrington, Stone",PK,6-3,195.0,R-Fr.,Colleyville. Texas / Colleyville,48.0,Texas Tech,,,
66,,"Esters III, Charles",OLB,6-3,260.0,So.,"Cedar Hill, Texas / Cedar Hill",49.0,Texas Tech,,,
67,,"Low, Trent",LB,6-1,220.0,Jr.,"Midland, Texas / Midland Lee",50.0,Texas Tech,,,
68,,"Cofield, Jayden",DL,6-2,305.0,Fr.,"Austin, Texas / Manor",51.0,Texas Tech,,,
69,,"Dyson III, Harvey",DL,6-3,260.0,R-Fr.,"Cedar Hill, Texas / Cedar Hill",52.0,Texas Tech,,,
70,,"Staats, Rusty",OL,6-5,325.0,S-Sr.,"Watertown, Tenn. / Watertown",53.0,Texas Tech,,,
71,,"Carr, Kaden",OL,6-6,315.0,Fr.,"Canadian, Texas / Lubbock Cooper",54.0,Texas Tech,,,
72,,"Ramirez, Bryce",OLB,6-2,250.0,Sr.,"Missouri City, Texas / George Ranch",54.0,Texas Tech,,,
73,,"Wilburn, Dennis",OL,6-3,320.0,S-Sr.,"Humble, Texas / Nimitz",56.0,Texas Tech,,,
74,,"Gray, Erik",DL,6-2,285.0,R-Fr.,"Amarillo, Texas / Amarillo",58.0,Texas Tech,,,
75,,"Tucker, Jack",OL,6-7,300.0,So.,"Argyle, Texas / Argyle",58.0,Texas Tech,,,
76,,"Mauch, Jacob",LS,6-3,220.0,Jr.,"Covina, Calif. / South Hills",61.0,Texas Tech,,,
77,,"Weatherby, Kaden",OL,6-6,315.0,R-Fr.,"Aurora, Colo. / Eaglecrest",62.0,Texas Tech,,,
78,,"Loftin, Jurrien",OL,6-5,310.0,R-Fr.,"Aledo, Texas / Aledo",64.0,Texas Tech,,,
79,,"Wilson, Sheridan",OL,6-5,295.0,R-Fr.,"Argyle, Texas / Argyle",65.0,Texas Tech,,,
80,,"Keeler, Matt",OL,6-6,305.0,Jr.,"Chicago, Ill. / Nazareth Academy",66.0,Texas Tech,,,
81,,"Martin, Seth",OL,6-3,310.0,R-Fr.,"Fort Worth, Texas / Everman",68.0,Texas Tech,,,
82,,"Rodkey, Caleb",OL,6-4,315.0,So.,"Missouri City, Texas / Ridge Point",69.0,Texas Tech,,,
83,,"Spencer, Cole",OL,6-4,300.0,S-Sr.,"Louisville, Ky. / Trinity",70.0,Texas Tech,,,
84,,"Mills, Monroe",OL,6-6,315.0,Jr.,"Columbia, Mo. / Father Tolton",71.0,Texas Tech,,,
85,,"Peterson, Landon",OL,6-6,300.0,Sr.,"Odessa, Texas / Permian",72.0,Texas Tech,,,
86,,"Sill, Daniel",OL,6-5,300.0,Fr.,"College Station, Texas / A&M Consolidated",74.0,Texas Tech,,,
87,,"Jackson, Jacoby",OL,6-6,335.0,So.,"Arlington, Texas / Mansfield Summit",75.0,Texas Tech,,,
88,,"Rogers, Caleb",OL,6-5,305.0,Sr.,"Mansfield, Texas / Lake Ridge",76.0,Texas Tech,,,
89,,"Buchanan, Ty",OL,6-6,310.0,So.,"Corpus Christi, Texas / Calallen",79.0,Texas Tech,,,
90,,"Tharp, Mason",TE,6-9,270.0,Jr.,"Klein, Texas / Klein",80.0,Texas Tech,,,
91,,"Hocutt, Drew",WR,6-0,190.0,Jr.,"Lubbock, Texas / Frenship",82.0,Texas Tech,,,
92,,"Esparza, Jack",WR,6-4,230.0,R-Fr.,"Austin, Texas / St. Michael's Catholic",83.0,Texas Tech,,,
93,,"Meeks, Aiden",WR,5-10,175.0,Fr.,"Rockwall, Texas / Rockwall",85.0,Texas Tech,,,
94,,"Wiginton, Haydon",WR,5-11,195.0,So.,"Midlothian, Texas / Heritage",87.0,Texas Tech,,,
95,,"Cupp, Baylor",TE,6-6,260.0,Sr.,"Brock, Texas / Brock",88.0,Texas Tech,,,
96,,"Burris, Blake",DL,6-5,310.0,So.,"Irving, Texas / Parish Episcopal",91.0,Texas Tech,,,
97,,"Moore, L.B.",OLB,6-3,265.0,Jr.,"Amarillo, Texas / Tascosa",92.0,Texas Tech,,,
98,,"McAlpine, Trevon",DL,6-3,305.0,R-Fr.,"Saraland, Ala. / Saraland",93.0,Texas Tech,,,
99,,"Rigsby, Braylon",DL,6-2,300.0,Fr.,"Woodville, Texas / Woodville",94.0,Texas Tech,,,
100,,"Hutchings, Jaylon",DL,6-0,305.0,S-Sr.,"Forney, Texas / Forney",95.0,Texas Tech,,,
101,,"Bradford Jr., Tony",DL,6-1,305.0,S-Sr.,"Houston, Texas / North Shore",97.0,Texas Tech,,,
102,,"Banks, E'maurion",DL,6-5,300.0,So.,"Wichita Falls, Texas / Rider",98.0,Texas Tech,,,
103,,"Carrell, Sam",OLB,6-4,270.0,So.,"Albuquerque, N.M. / Sandia",99.0,Texas Tech,,,
104,,"Garcia, Gino",PK,6-2,210.0,Sr.,"Richardson, Texas / Pearce",99.0,Texas Tech,,,
0,,,,,,,,,Texas Tech,,Joey McGuire,Head Coach
1,,,,,,,,,Texas Tech,,Kenny Perry,Associate Head Coach / Special Teams Coordinator / Running Backs
2,,,,,,,,,Texas Tech,,Tim DeRuyter,Defensive Coordinator
3,,,,,,,,,Texas Tech,,Zach Kittley,Offensive Coordinator / Quarterbacks
4,,,,,,,,,Texas Tech,,Justin Johnson,Assistant Head Coach / Passing Game Coordinator / WRs
5,,,,,,,,,Texas Tech,,C.J. Ah You,Outside Linebackers Coach
6,,,,,,,,,Texas Tech,,Josh Bookbinder,Inside Linebackers Coach
7,,,,,,,,,Texas Tech,,Josh Cochran,Tight Ends Coach
8,,,,,,,,,Texas Tech,,Zarnell Fitch,Defensive Line Coach
9,,,,,,,,,Texas Tech,,Stephen Hamby,Offensive Line Coach
10,,,,,,,,,Texas Tech,,Marcel Yates,Passing Game Coordinator / Secondary Coach
0,,,,,,,,,Texas Tech,,Lance Barilow,Head Strength & Conditioning Coach
1,,,,,,,,,Texas Tech,,Aaron Hall,Associate Strength & Conditioning Coach
2,,,,,,,,,Texas Tech,,Brandon Lee,Associate Strength & Conditioning Coach
3,,,,,,,,,Texas Tech,,Khalid Blount,Assistant Strength & Conditioning Coach
4,,,,,,,,,Texas Tech,,Brandyn Musgrave,Assistant Strength & Conditioning Coach
5,,,,,,,,,Texas Tech,,R.J. Torres,Applied Sports Scientist for Football
6,,,,,,,,,Texas Tech,,Antonio Huffman,Associate A.D./Football Administration
7,,,,,,,,,Texas Tech,,Quintin Jordan,Director of Football Operations
8,,,,,,,,,Texas Tech,,James Blanchard,Director of Player Personnel
9,,,,,,,,,Texas Tech,,Brian Nance,Director of Scouting
10,,,,,,,,,Texas Tech,,Dave Martin,Director of Player Development
11,,,,,,,,,Texas Tech,,Sammy Morris,Assistant Director for Player Support Development
12,,,,,,,,,Texas Tech,,Harrison Hanna,Assistant Director of Operations & Recruiting
13,,,,,,,,,Texas Tech,,Kate Shealy,Director of Recruiting Operations
14,,,,,,,,,Texas Tech,,Preslee Quisenberry,Director of On-Campus Recruiting
15,,,,,,,,,Texas Tech,,Sean Kenney,Recruiting & Personnel Assistant
16,,,,,,,,,Texas Tech,,Jake Pittman,Post-Grad Intern - Recruiting
17,,,,,,,,,Texas Tech,,Kirk Bryant,Senior Offensive Analyst
18,,,,,,,,,Texas Tech,,Tyler Schovanec,Special Teams Analyst
19,,,,,,,,,Texas Tech,,Ryan Conry,Defensive Quality Control Assistant
20,,,,,,,,,Texas Tech,,James Lockhart,Defensive Quality Control Assistant
21,,,,,,,,,Texas Tech,,Diego Ortiz,Offensive Quality Control Assistant
22,,,,,,,,,Texas Tech,,Lou Bunning,Offensive Graduate Assistant
23,,,,,,,,,Texas Tech,,Jah'Shawn Johnson,Defensive Graduate Assistant
24,,,,,,,,,Texas Tech,,Cole Maxwell,Defensive Graduate Assistant
25,,,,,,,,,Texas Tech,,Trent Vasey,Offensive Graduate Assistant
26,,,,,,,,,Texas Tech,,Hannah Petersen,Football Dietitian
27,,,,,,,,,Texas Tech,,Gentry Hicks,Assistant Football Sports Dietitian
28,,,,,,,,,Texas Tech,,Zane Perry,Assistant A.D/Equipment Operations
29,,,,,,,,,Texas Tech,,Cayman Ancell,Head Football Equipment Manager
30,,,,,,,,,Texas Tech,,Roger Lira,Assistant Equipment Manager
31,,,,,,,,,Texas Tech,,Austin Nettles,Assistant Equipment Manager
32,,,,,,,,,Texas Tech,,Tanner Nied,Equipment Coordinator
33,,,,,,,,,Texas Tech,,Chris Velasquez,Director of Football Video
34,,,,,,,,,Texas Tech,,Eric Gerald,Video Coordinator
35,,,,,,,,,Texas Tech,,Jacob Chavarria,Post-Grad Intern - Football Video
36,,,,,,,,,Texas Tech,,Michael Ramirez,Associate A.D./Head Athletic Trainer
37,,,,,,,,,Texas Tech,,Katherine Carden,Associate Athletic Trainer
38,,,,,,,,,Texas Tech,,Steven Lapso,Assistant Athletic Trainer
39,,,,,,,,,Texas Tech,,Lesha Weatherford,Executive Associate for Head Coach
40,,,,,,,,,Texas Tech,,Josh Haverfield,Strength & Conditioning Intern - Football
41,,,,,,,,,Texas Tech,,Blake Rowedder,Assistant Director of Football Creative Content
