,Number,Name,Position,Height,Weight,Class,Hometown,High School
69,47.0,Jared Casey,Tight End,"6'0""",255 lbs.,Junior,"Plainville, Kan.",Plainville HS
70,49.0,Mack Moeller,Tight End,"6'3""",220 lbs.,RS-Sophomore,"Mission, Kan.",Bishop Miege HS
71,50.0,Mike Novitsky,Offensive Line,"6'5""",305 lbs.,RS-Senior,"Victor, NY.",Victor HS
72,51.0,Emory Duggar,Long Snapper,"6'2""",225 lbs.,RS-Sophomore,"Baton Rouge, La.",Catholic HS
73,52.0,Logan Brown,Offensive Line,"6'6""",320 lbs.,RS-Junior,"Grand Rapids, Mich.",East Kentwood HS
74,52.0,D.J. Withers,Defensive Line,"6'4""",300 lbs.,RS-Sophomore,"Little Rock, Ark.",Joe T. Robinson HS
75,53.0,Caleb Taylor,Defensive Line,"6'4""",300 lbs.,Junior,"St. Louis, Mo.",Staley HS
76,54.0,Michael Ford Jr.,Offensive Line,"6'3""",305 lbs.,Junior,"Homewood, Ill.",Homewood-Flossmoor HS
77,55.0,Ar'maj Reed-Adams,Offensive Line,"6'5""",330 lbs.,RS-Sophomore,"DeSoto, Texas",DeSoto HS
78,56.0,Parker Williams,Defensive End,"6'4""",235 lbs.,RS-Freshman,"Kansas City, Mo.",Rockhurst HS
79,56.0,Hunter Barlow,Offensive Line,"6'3""",315 lbs.,RS-Sophomore,"Hutchinson, Kan.",Haven HS/Hutchinson CC
80,57.0,Hank Kelly,Defensive Line,"6'4""",305 lbs.,RS-Sophomore,"Fayetteville, Ark.",Fayetteville HS
81,58.0,Kael Farkes,Offensive Line,"6'3""",290 lbs.,RS-Freshman,"Lenexa, Kan.",Shawnee Mission Northwest HS
82,59.0,Nolan Gorczyca,Offensive Line,"6'6""",310 lbs.,RS-Sophomore,"Omaha, Neb.",Roncalli Catholic HS / Buffalo
83,60.0,Luke Hosford,Long Snapper,6'2'',225 lbs.,RS-Junior,"Cuyahoga Falls, Ohio",Woodridge HS
84,61.0,Patrick Wallace,Offensive Line,"6'4""",315 lbs.,RS-Freshman,"Houston, Texas",St. Thomas HS
85,63.0,Jake Eisenhauer,Offensive Line,"6'1""",305 lbs.,RS-Sophomore,"Salina, Kan.",Salina Central HS
86,67.0,Dominick Puni,Offensive Line,"6'5""",320 lbs.,RS-Senior,"St. Charles, Mo.",Francis Howell Central HS / Central Missouri
87,69.0,Joe Krause,Offensive Line,"6'3""",305 lbs.,RS-Sophomore,"Prairie Village, Kan.",Shawnee Mission East HS
88,70.0,Kobe Baynes,Offensive Line,"6'4""",320 lbs.,RS-Sophomore,"Jacksonville, Fla.",Sandalwood HS
89,71.0,James Livingston,Offensive Line,"6'7""",305 lbs.,RS-Freshman,"Dexter, Mich.",Dexter HS
90,72.0,Danny Robinson,Offensive Line,"6'5""",305 lbs.,RS-Sophomore,"Overland Park, Kan.",Blue Valley Northwest HS
91,73.0,Dre Doiron,Offensive Line,"6'4""",305 lbs.,RS-Sophomore,"London, Ontario",Catholic Central / Buffalo
92,74.0,De'Kedrick Sterns,Offensive Line,"6'4""",315 lbs.,RS-Sophomore,"Austin, Texas",Del Valle HS
93,75.0,Calvin Clements,Offensive Line,"6'7""",310 lbs.,Freshman,"Lawrence, Kan.",Lawrence Free State HS
94,76.0,Spencer Lovell,Offensive Line,"6'6""",330 lbs.,RS-Junior,"Fort Collins, Colo.",Rocky Mountain HS/Cal
95,77.0,Bryce Cabeldue,Offensive Line,"6'6""",300 lbs.,Junior,"Clovis, N.M.",Clovis HS
96,78.0,Joey Baker,Offensive Line,"6'4""",285 lbs.,RS-Freshman,"Southlake, Texas",Southlake Carroll HS
97,80.0,Cole Rhoden,Wide Receiver,"6'2""",190 lbs.,RS-Freshman,"Platte City, Mo.",Platte City HS
98,81.0,Quinton Conley,Wide Receiver,"6'6""",220 lbs.,RS-Freshman,"Kansas City, Mo.",Pembrooke Hill School
99,82.0,Griffin Koch,Wide Receiver,"6'2""",170 lbs.,RS-Freshman,"New Canaan, Conn.",IMG Academy
100,83.0,Quentin Skinner,Wide Receiver,"6'5""",195 lbs.,Junior,"Claremore, Okla.",Claremore HS
101,83.0,Jacob Borcila,Kicker,6'2'',195 lbs.,RS-Junior,"Westerville, Ohio",Westerville Central HS
102,84.0,Kevin Terry,Wide Receiver,"6'1""",195 lbs.,Senior,"Little Elm, Texas",Little Elm HS
103,85.0,Kelan Robinson,Wide Receiver,"6'2""",205 lbs.,RS-Sophmore,"Grand Prairie, Texas",South Grand Prairie HS
104,86.0,Surahz Buncom,Wide Receiver,"6'4""",175 lbs.,Freshman,"Chula Vista, Calif.",Mater Dei Catholic
105,87.0,Will Huggins,Tight End,"6'7""",245 lbs.,RS-Sophomore,"Lenexa, Kan.",Shawnee Mission South HS
106,88.0,Tevita Noa,Tight End,"6'4""",245 lbs.,RS-Senior,"Salt Lake City, Utah",Highland HS / Snow College
107,89.0,Mason Fairchild,Tight End,6'5'',260 lbs.,Senior,"Andale, Kan.",Andale HS
108,90.0,Jereme Robinson,Defensive Line,6'3'',260 lbs.,Junior,"Montgomery, Ala.",Carver HS
109,91.0,Seth Keller,Kicker,"5'8""",165 lbs.,RS-Senior,"Colleyville, Texas",Covenant Christian HS/Texas State
110,92.0,Tommy Dunn Jr.,Defensive Line,"6'3""",310 lbs.,RS-Sophomore,"Garland, Texas",Naaman Forest HS
111,93.0,Charlie Weinrich,Kicker,"5'11""",205 lbs.,RS-Freshman,"Leawood, Kan.",Blue Valley HS/Nebraska
112,94.0,Andon Carpenter,Defensive Line,"6'2""",270 lbs.,RS-Freshman,"Derby, Kan.",Derby HS
113,95.0,Ronald McGee,Defensive Line,"6'3""",285 lbs.,RS-Senior,"Sumter, S.C.",Sumter HS
114,96.0,Cole Petrus,Defensive End,"6'4""",235 lbs.,RS-Sophomore,"St. Louis, Mo.",Vianney HS
115,97.0,Kenean Caldwell,Defensive Line,"6'3""",325 lbs.,RS-Sophomore,"Oak Grove, La.",Oak Grove HS
116,99.0,Austin Booker,Defensive Line,"6'6""",245 lbs.,RS-Sophomore,"Greenwood, Ind.",Center Grove HS
0,,Lance Leipold,Head Coach,,,,,
1,,Brian Borland,Defensive Coordinator,,,,,
2,,Andy Kotelnicki,Associate Head Coach/Offensive Coordinator,,,,,
3,,Scott Fuchs,Assistant Coach - Offensive Line,,,,,
4,,Taiwo Onatolu,Assistant Coach - Defensive Ends/Special Teams Coordinator,,,,,
5,,Jim Panagos,Assistant Coach - Defensive Tackles,,,,,
6,,Jordan Peterson,Assistant Coach - Defensive Backs/Defensive Pass Game Coordinator,,,,,
7,,Terrence Samuel,Assistant Coach - Wide Receivers,,,,,
8,,Chris Simpson,Assistant Coach - Linebackers,,,,,
9,,Jonathan Wallace,Assistant Coach - Running Backs,,,,,
10,,Jim Zebrowski,Assistant Coach - Quarterbacks,,,,,
