,Statistic,#,Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,Last School,Major,Image,Title
30,,19.0,"Smith, Jaylin",DB,5-11,180.0,Jr.,"Palmdale, Calif.",USC,Bishop Alemany HS,Communication,,
31,,21.0,"Joyner, Quinten",RB,5-11,200.0,Fr.,"Paige, Texas",USC,Manor HS,Communication,,
32,,21.0,"McCutchin, Latrell",DB,6-1,190.0,Jr.,"Austin, Texas",USC,LBJ Early College HS / Oklahoma,American Studies and Ethnicity,,
33,,22.0,"Barlow, Darwin",RB,6-0,220.0,R-Sr.,"Newton, Texas",USC,Newton / TCU,Communication,,
34,,22.0,"Wright, Ceyair",DB,6-0,180.0,R-So.,"Los Angeles, Calif.",USC,Loyola HS,Communication,,
35,,23.0,"Jackson Jr., Joshua",DB,6-1,185.0,R-Jr.,"Westminster, Calif",USC,Narbonne HS,Communication,,
36,,24.0,"Lemon, Makai",WR,5-11,180.0,Fr.,"Los Alamitos, Calif.",USC,Los Alamitos HS,Communication,,
37,,24.0,"Pierce, Christian",DB,6-1,190.0,Fr.,"Fontana, Calif.",USC,Rancho Cucamonga HS,Astronomy,,
38,,25.0,"Curtis, Tackett",ILB,6-2,220.0,Fr.,"Many, La.",USC,Many HS,Business Administration,,
39,,26.0,"Ross, Fabian",DB,6-0,205.0,So.,"Las Vegas, Nev.",USC,Bishop Gorman HS,Undeclared,,
40,,27.0,"Peterson, A'Marion",RB,6-0,205.0,Fr.,"Wichita Falls, Texas",USC,Hirschi HS,Undeclared,,
41,,27.0,"Shaw, Bryson",DB,6-0,190.0,R-Sr.,"Eldersburg, Md.",USC,Bullis School / Ohio State,Political Science,,
42,,28.0,"Gordon, Xamarion",DB,6-1,205.0,R-So.,"Houston, Texas",USC,Warren HS,Communication,,
43,,28.0,"Roy, Gage",QB,6-2,200.0,So.,"Dallas, Texas",USC,Jesuit Dallas HS,Real Estate Development,,
44,,29.0,"Crawford, Maliki",DB,6-4,170.0,Fr.,"Oxnard, Calif.",USC,Pacifica HS,Undeclared,,
45,,30.0,"Thompson Jr., Chris",ILB,6-2,220.0,Sr.,"Duncanville, Texas",USC,Duncanville HS / Auburn,Business Administration,,
46,,31.0,"Taleni, Tyrone",DL,6-2,270.0,R-Sr.,"Savai’i, Western Samoa",USC,Vaiola College HS / Mt. San Antonio JC / Kansas State,Human Biology,,
47,,31.0,"Ward, Isaac",QB,5-10,185.0,R-Jr.,"Athens, Ga.",USC,Clarke Central HS,American Popular Culture,,
48,,34.0,"Colombo, Matt",RB,5-11,200.0,R-Jr.,"El Segundo, Calif",USC,St. John Bosco HS,Business Administration,,
49,,35.0,"McAllister, Michael",P,6-2,215.0,R-Jr.,"Carlsbad, Calif.",USC,La Costa Canyon HS,Communication,,
50,,36.0,"Rose, Will",P,6-1,190.0,R-Sr.,"Long Beach, Calif.",USC,St. John Bosco HS,Real Estate Development,,
51,,37.0,"Czaplicki, Eddie",PK/K,6-1,200.0,Jr.,"Charlotte, N.C.",USC,Providence HS / Arizona State,Economics,,
52,,37.0,"Thompkins, Devan",DL,6-5,260.0,R-Fr.,"Stockton, Calif.",USC,Edison HS,Undeclared,,
53,,39.0,"Casasante, Jac",SNP,6-0,225.0,R-Sr.,"Altadena, Calif.",USC,Loyola HS,Sociology,,
54,,39.0,"Pomerantz, Garrett",RUSH,6-2,220.0,So.,"Las Vegas, Nev.",USC,Bishop Gorman HS,Health Promotion,,
55,,40.0,"Shamblin, Ty",WR,5-11,195.0,R-Jr.,"Carpinteria, Calif.",USC,Oaks Christian HS,Business Administration,,
56,,40.0,"Simpson, L",DB,6-0,200.0,R-Jr.,"Chatsworth, Calif.",USC,Sierra Canyon HS / Loyola Marymount,Communication and Sociology,,
57,,41.0,"Madden, Garrison",ILB,6-3,215.0,R-Fr.,"Hampton, Ga.",USC,Dutchtown HS,,,
58,,42.0,"Ryan, Danny",WR,6-1,200.0,R-Jr.,"Larkspur, Calif.",USC,St. Ignatius Prep,Real Estate Development,,
59,,42.0,"Sleep-Dalton, Aadyn",P,6-1,195.0,Sr.,"Geelong, Australia",USC,,Health and Human Sciences,,
60,,44.0,"Greene, Sam",RUSH,6-1,240.0,Fr.,"Washington, D.C.",USC,St. Frances Academy,Undeclared,,
61,,44.0,"Zamora, Josiah",WR,5-10,185.0,R-So.,"Monrovia, Calif.",USC,Mater Dei HS,"Law, History and Culture",,
62,,46.0,"Lynch, Denis",PK,5-8,185.0,R-So.,"Newbury Park, Calif.",USC,Newbury Park HS,Real Estate Development,,
63,,46.0,"Nerhus, Corey",WR,5-9,215.0,Jr.,"Huntington Beach, Calif.",USC,Mater Dei / Orange Coast CC,Human Biology,,
64,,47.0,"Ta'ufo'ou, Stanley",DL,6-2,265.0,R-Sr.,"Simi Valley, Calif.",USC,Grace Brethren HS,Non-Governmental Organizations and Social Change,,
65,,48.0,"Jimenez-Fulton, Daniel",DB,5-10,195.0,R-So.,"Chandler, Ariz.",USC,Chandler HS,Business Administration,,
66,,48.0,"Meunier, Daniel",SNP,5-10,225.0,Sr.,"Lynwood, Calif",USC,Bishop Mora Salesian HS / El Camino JC,Psychology,,
67,,51.0,"Byrd, Solomon",RUSH,6-3,250.0,R-Sr.,"Palmdale, Calif.",USC,Knight HS / Wyoming,Master's: Gerontology • Bachelor's: American Studies,,
68,,52.0,"Bravos, Theo",ILB,5-10,210.0,Jr.,"Yuba City, Calif.",USC,Sutter Union HS,Business Administration,,
69,,52.0,"Kingston, Jarrett",OL,6-4,300.0,R-Sr.,"Anderson, Calif.",USC,Anderson HS / Washington State,Master's: Gerontology • Bachelor's: Social Science,,
70,,53.0,"Lee, Shane",ILB,6-0,245.0,R-Sr.,"Burtonsville, Md.",USC,St. Frances Academy / Alabama,Master's: Aging Services Management • Bachelor's: Marketing,,
71,,53.0,"Weneta, Nathan",SNP,6-0,220.0,R-Jr.,"San Diego, Calif.",USC,Cathedral Catholic HS / Purdue,"Philosophy, Politics and Economics",,
72,,56.0,"Dewerk, Andres",OL,6-7,325.0,R-Jr.,"San Jose, Calif.",USC,Los Gatos HS,Real Estate Development,,
73,,57.0,"Dedich, Justin",OL,6-2,295.0,R-Sr.,"Temecula, Calif.",USC,Chaparral HS,Master's: Public Health • Bachelor's: Human Biology,,
74,,57.0,"Marchetti, Roman",ILB,6-2,210.0,So.,"Tustin, Calif",USC,Foothill HS,Journalism,,
75,,58.0,"Tuliaupupu, Solomon",DL,6-3,250.0,R-Sr.,"Santa Ana, Calif.",USC,Mater Dei,Master's: Project Management • Bachelor's: Business Administration,,
76,,62.0,"Lovelace, Cooper",OL,6-5,300.0,R-Sr.,"Prairie Village, Kan.",USC,Shawnee Mission East HS / Butler CC,Communication,,
77,,65.0,"Tucker, Grant",OL,6-2,260.0,Sr.,"Colorado Springs, Colo.",USC,Rampart HS,Business Administration,,
78,,66.0,"Quinones, Gino",OL,6-3,300.0,R-Sr.,"Ewa Beach, Hawaii",USC,Saint Louis HS,Geodesign,,
79,,67.0,"O'Connor, Kilian",OL,6-1,285.0,So.,"Ladera Ranch, Calif.",USC,Santa Margarita Catholic HS,Business Administration,,
80,,71.0,"Tarquin, Michael",OL,6-5,310.0,R-Sr.,"Ocala, Fla.",USC,North Marion / Florida,Master's: Gerontology • Bachelor's: Criminology,,
81,,72.0,"Paige, Elijah",OL,6-7,305.0,Fr.,"Phoenix, Ariz.",USC,Pinnacle HS,Journalism,,
82,,76.0,"Murphy, Mason",OL,6-5,310.0,R-So.,"Riverside, CA",USC,JSerra Catholic HS,Undeclared,,
83,,77.0,"Sekona, Jamar",DL,6-3,290.0,R-Jr.,"Fairfax, Calif.",USC,Marin Catholic HS,Social Sciences,,
84,,78.0,"Milek, Andrew",OL,6-5,305.0,R-Jr.,"Chandler, Ariz.",USC,Brophy Prep,Sociology,,
85,,79.0,"Benton, De’jon",DL,6-1,270.0,R-Sr.,"Pittsburg, Calif.",USC,Pittsburg HS,Non-Governmental Organizations and Social Change,,
86,,79.0,"Monheim, Jonah",OL,6-5,295.0,R-Jr.,"Moorpark, Calif.",USC,Moorpark HS,Business Administration,,
87,,82.0,"Overn, Austin",WR,5-10,175.0,So.,"Santa Ana, Calif.",USC,Foothill HS,Real Estate Development,,
88,,82.0,"Ragsdale, Vincent",DB,5-11,180.0,Sr.,"San Juan Capistrano, Calif.",USC,JSerra Catholic HS,Real Estate Development,,
89,,84.0,"Tabaracci, Carson",TE,6-2,225.0,R-Fr.,"Park City, Utah",USC,Park City HS / Utah,Communication,,
90,,87.0,"McRee, Lake",TE,6-4,245.0,R-So.,"Austin, Texas",USC,Lake Travis HS,Communication,,
91,,90.0,"Mobley, Colin",DL,6-3,290.0,R-So.,"Washington, D.C.",USC,DeMatha Catholic HS,Undeclared,,
92,,92.0,"Barrs, Kyon",DL,6-2,290.0,R-Sr.,"Murrieta, Calif.",USC,Murrieta Mesa / Arizona,Master's: Gerontology • Bachelor's: General Studies – Sports and Society,,
93,,93.0,"Astani, Sinjun",DL,6-4,255.0,R-Sr.,"Malibu, Calif.",USC,Loyola HS / San José State,Master's: Communication Management • Bachelor's: Communication,,
94,,94.0,"Pepe, Kobe",DL,6-2,320.0,R-Jr.,"Long Beach, Calif.",USC,St. John Bosco HS,Social Sciences,,
95,,95.0,"Otte, Luke",TE,6-5,250.0,So.,"Simi Valley, Calif.",USC,Simi Valley HS / Mira Mar CC,Political Economy,,
96,,97.0,"Barquet Jr., Earl",DL,6-2,275.0,R-Sr.,"Marrero, La.",USC,John Ehret HS / TCU,Non-Governmental Organizations and Social Change,,
97,,98.0,"White, Garth",PK-P,6-3,220.0,Jr.,"Westlake, Calif.",USC,Oaks Christian HS / Ventura JC,Economics and Communication,,
98,,99.0,"Sullivan, Jack",DL,6-5,275.0,R-Sr.,"Plainfield, Ill.",USC,Plainfield East HS / Purdue,Master's: Gerontology • Bachelor's: Professional Flight Technology and Aviation Management,,
0,,,Lincoln Riley,,,,,,USC,,,,C. & J. Elerding Head Football Coach
1,,,Alex Grinch,,,,,,USC,,,,Defensive Coordinator / Safeties
2,,,Zach Hanson,,,,,,USC,,,,Tight Ends
3,,,Josh Henson,,,,,,USC,,,,Offensive Coordinator / Offensive Line
4,,,Luke Huard,,,,,,USC,,,,Inside Wide Receivers Coach
5,,,Roy Manning,,,,,,USC,,,,Outside Linebackers / Nickels / Assistant Head Coach for Defense
6,,,Kiel McDonald,,,,,,USC,,,,Running Backs
7,,,Brian Odom,,,,,,USC,,,,Inside Linebackers / Associate Head Coach for Defense
8,,,Shaun Nua,,,,,,USC,,,,Defensive Line
9,,,Dennis Simmons,,,,,,USC,,,,Assistant Head Coach / Outside Wide Receivers Coach / Offensive Passing Game Coordinator
10,,,Donte Williams,,,,,,USC,,,,Defensive Backs / Defensive Passing Game Coordinator
11,,,Bennie Wylie,,,,,,USC,,,,Director of Football Sports Performance
12,,,Zach Crabtree,,,,,,USC,,,,Offensive Graduate Assistant/Offensive Line
13,,,Trey Tinsley,,,,,,USC,,,,Offensive Graduate Assistant
14,,,Will Johnson,,,,,,USC,,,,Defensive Graduate Assistant/Secondary
15,,,Peyton Pelluer,,,,,,USC,,,,Defensive Graduate Assistant/Linebackers
16,,,Ryan Dougherty,,,,,,USC,,,,Senior Special Team Analyst/Assistant Special Teams Coordinator
17,,,Derek Fa'avi,,,,,,USC,,,,Offensive Analyst
18,,,Greg Brown,,,,,,USC,,,,Senior Defensive Analyst
19,,,Parker Henry,,,,,,USC,,,,Senior Defensive Analyst/Assistant Linebackers
20,,,Taylor Mays,,,,,,USC,,,,Defensive Analyst
21,,,Bookie Radley-Hiles,,,,,,USC,,,,Defensive Analyst
22,,,Caesar Martinez,,,,,,USC,,,,Assistant Director of Football Sports Performance
23,,,Drew Smith,,,,,,USC,,,,Assistant Director of Football Sports Performance
24,,,Adam Thackery,,,,,,USC,,,,Assistant Director of Football Sports Performance
25,,,Jackson Polk,,,,,,USC,,,,Assistant Director of Sports Science
26,,,Caleb Withrow,,,,,,USC,,,,Assistant Director of Football Sports Performance
27,,,Eric Espinoza,,,,,,USC,,,,Director of Video Operations
28,,,Alex Nederhoff,,,,,,USC,,,,Football Video & Systems Analyst
0,,,Ed Stewart,,,,,,USC,,,,Executive Senior Associate Athletic Director for Football Administration
1,,,Dave Emerick,,,,,,USC,,,,Senior Associate Athletic Director for Football / General Manager
2,,,Clarke Stroud,,,,,,USC,,,,Director of Football Operations
3,,,Ben Hynds,,,,,,USC,,,,Assistant Director of Football Operations
4,,,Cheryl Taplin,,,,,,USC,,,,Executive Assistant to Head Coach / Assistant Director of Operations
5,,,Chris Carter,,,,,,USC,,,,Director of Player Development
6,,,Brittany Thackery,,,,,,USC,,,,Director of Player Engagement
7,,,Annie Hanson,,,,,,USC,,,,Executive Director of Football Recruiting
8,,,Morgan Laurence,,,,,,USC,,,,Assistant Director of Recruiting Operations
9,,,Gavin Morris,,,,,,USC,,,,Assistant Athletic Director / Director of Player Relations
10,,,Drew Fox,,,,,,USC,,,,Assistant Director of Player Personnel
11,,,Weston Zernechel,,,,,,USC,,,,Assistant Director of Player Personnel
12,,,Radmen Niven,,,,,,USC,,,,Executive Director of Football Marketing and Branding
13,,,Geno Velasco,,,,,,USC,,,,Director of Cinematography and Post Production
14,,,Rob Washington,,,,,,USC,,,,Director of Content
15,,,Juan Reyes,,,,,,USC,,,,Director of Digital Strategy
16,,,Jonathan Chaves,,,,,,USC,,,,Art Director
