,#,Name,Pos.,Ht.,Wt.,Cl.,Exp.,Hometown / Previous School,Current School Name,Opendorse
36,34.0,Josh Cameron,WR,"6' 1""",216.0,R-So.,1L,"Cedar Park, Texas / Cedar Park HS",Baylor,josh-cameron
37,35.0,Jackie Marshall,DL,"6' 3""",281.0,R-So.,1L,"LaPlace, La. / East St. John HS",Baylor,jackie-marshall
38,36.0,Tyrone Brown,LB,"5' 11""",222.0,R-So.,1L,"Orange, Texas / West Orange-Stark HS",Baylor,tyrone-brown
39,39.0,Michael Mastrodicasa,CB,"6' 0""",199.0,R-So.,1L,"Austin, Texas / Vandegrift HS",Baylor,michael-mastrodicasa
40,40.0,Mike Smith Jr.,LB,"6' 1""",225.0,5th,TR,"Flora, Miss. / Ridgeland HS / Mississippi Gulf Coast / Liberty",Baylor,
41,41.0,Brooks Miller,LB,"6' 1""",225.0,R-Jr.,2L,"West Monroe, La. / West Monroe HS",Baylor,brooks-miller
42,42.0,Jeremy Evans,LB,"6' 1""",209.0,R-Fr.,RS,"Tenaha, Texas / Tenaha HS",Baylor,jeremy-evans
43,43.0,Gavin Yates,TE,"6' 3""",248.0,Jr.,2L,"Frisco, Texas / Memorial HS",Baylor,gavin-yates
44,44.0,Mark Patton,TE,"6' 4""",238.0,R-Jr.,RS,"Tyler, Texas / Lee HS / Tyler JC",Baylor,mark-patton
45,44.0,Josh White,LB,"6' 0""",229.0,R-Jr.,1L,"Houston, Texas / Cy Creek HS / LSU",Baylor,josh-white
46,,,,,,,,,Baylor,
47,45.0,Hawkins Polley,TE,"6' 4""",256.0,Fr.,HS,"Houston, Texas / Stratford HS",Baylor,hawkins-polley
48,46.0,Tony Anyanwu,OLB,"6' 2""",243.0,Jr.,1L,"Rowlett, Texas / Sachse HS",Baylor,anthony-anyanwu
49,47.0,Caleb Parker,LB,"5' 11""",213.0,R-Jr.,1L,"Dallas, Texas / Lake Highlands HS",Baylor,caleb-parker
50,48.0,Matthew Klopfenstein,TE,"6' 5""",226.0,Fr.,HS,"Scottsdale, Ariz. / Horizon HS",Baylor,matthew-klopfenstein-profile
51,49.0,Jonathan Nielsen,TE,"6' 6""",230.0,Fr.,HS,"Slagelse, Denmark / Joshua HS",Baylor,jonathan-nielsen
52,50.0,Connor Heffernan,OL,"6' 4""",287.0,R-So.,SQ,"Georgetown, Texas / Georgetown HS",Baylor,connor-heffernan
53,50.0,Kaian Roberts-Day,DL,"6' 3""",269.0,R-Fr.,RS,"Festus, Mo. / Festus HS",Baylor,kaian-roberts-day
54,51.0,Kyler Jordan,OLB,"6' 2""",225.0,R-Fr.,RS,"Lubbock, Texas / Cooper HS",Baylor,kyler-jordan
55,53.0,Campbell Barrington,OL,"6' 6""",295.0,Jr.,TR,"Spokane, Wash. / University HS / BYU",Baylor,campbell-barrington
56,53.0,Evan Miller,OLB,"6' 1""",175.0,R-So.,TR,"Fort Lauderdale, Fla. / Centennial [Tenn.] HS",Baylor,
57,54.0,Timothy Dawn,OL,"6' 2""",304.0,R-Fr.,RS,"Camden, Ark. / Fairview HS",Baylor,timothy-dawn
58,54.0,David Marshall Jr.,DL,"6' 0""",275.0,So.,HS,"Waxahachie, Texas / Waxahachie HS",Baylor,
59,55.0,Garmon Randolph,OLB,"6' 7""",247.0,R-Sr.,3L,"Jefferson, Ga. / Jefferson HS",Baylor,garmon-randolph
60,56.0,Clark Barrington,OL,"6' 6""",305.0,5th,TR,"Spokane, Wash. / University HS / BYU",Baylor,clark-barrington
61,56.0,Braden Strauss,LB,"5' 11""",216.0,R-Jr.,SQ,"Waco, Texas / Midway HS",Baylor,braden-strauss
62,57.0,Wes Tucker,OL,"6' 5""",268.0,Fr.,HS,"Argyle, Texas / Argyle HS",Baylor,
63,57.0,Prince Ugoh,DL,"6' 1""",235.0,R-So.,SQ,"Frisco, Texas / Liberty HS",Baylor,prince-ugoh
64,58.0,Gavin Byers,OL,"6' 5""",310.0,Sr.,3L,"Grapevine, Texas / Colleyville Heritage HS",Baylor,gavin-byers
65,58.0,Jaden Maronen,LB,"5' 10""",226.0,R-So.,SQ,"Katy, Texas / Katy HS",Baylor,jaden-maronen
66,59.0,Devonte Tezino,DL,"6' 5""",292.0,R-Fr.,RS,"Killeen, Texas / Ellison HS",Baylor,devonte-texino
67,62.0,Ryan Lengyel,OL,"6' 5""",302.0,R-So.,SQ,"Dallas, Texas / Jesuit Prep",Baylor,ryan-lengyel
68,71.0,MJ Ruhman,OL,"6' 4""",282.0,R-So.,SQ,"The Woodlands, Texas / The Woodlands HS",Baylor,michael-ruhman
69,72.0,Coleton Price,OL,"6' 2""",311.0,R-Fr.,RS,"Bowie, Texas / Bowie HS",Baylor,coleton-price
70,73.0,George Maile,OL,"6' 3""",298.0,R-Fr.,RS,"South Jordan, Utah / Bingham HS",Baylor,george-maile
71,74.0,Kaden Sieracki,OL,"6' 8""",314.0,R-Fr.,RS,"The Woodlands, Texas / The Woodlands HS",Baylor,
72,75.0,Elijah Ellis,OL,"6' 6""",339.0,Jr.,SQ,"Paris, Texas / Paris HS",Baylor,elijah-ellis
73,77.0,Tate Williams,OL,"6' 4""",284.0,R-So.,1L,"Wall, Texas / Wall HS",Baylor,tate-williams
74,79.0,Alvin Ebosele,OL,"6' 6""",308.0,R-Fr.,RS,"Coppell, Texas / Coppell HS",Baylor,alvin-ebosele
75,80.0,Monaray Baldwin,WR,"5' 9""",164.0,Jr.,1L,"Killeen, Texas / Shoemaker HS",Baylor,monaray-baldwin
76,81.0,Jonathan Davidson,WR,"6' 1""",206.0,R-Jr.,1L,"Fulshear, Texas / Fulshear HS",Baylor,Jonathan-davidson
77,82.0,Cody Mladenka,TE,"6' 4""",241.0,R-Fr.,RS,"The Woodlands, Texas / College Park HS",Baylor,cody-mladenka
78,83.0,Elijah Bean,WR,"6' 4""",220.0,R-So.,SQ,"Humble, Texas / Summer Creek HS",Baylor,elijah-bean
79,86.0,Jake Roberts,TE,"6' 4""",244.0,Jr.,TR,"Norman, Okla. / Norman North HS / North Texas",Baylor,jake-roberts
80,87.0,Kelsey Johnson,TE,"6' 2""",243.0,So.,1L,"Red Oak, Texas / Red Oak HS",Baylor,kelsey-johnson-jr
81,88.0,Micah Gifford,WR,"6' 3""",196.0,Fr.,HS,"Pflugerville, Texas / Weiss HS",Baylor,
82,89.0,Drake Dabney,TE,"6' 5""",251.0,Sr.,3L,"Cypress, Texas / Cypress Ranch HS",Baylor,drake-dabney
83,91.0,Trey Wilson,DL,"6' 3""",250.0,Fr.,HS,"Garland, Texas / Lakeview Centennial HS",Baylor,
84,94.0,BoChao Jin,DL,"6' 0""",264.0,R-Jr.,SQ,"Beijing, China / Aquinas Institute / Rochester",Baylor,bochao-jin
85,94.0,Palmer Williams,P,"6' 1""",179.0,Fr.,HS,"Advance, N.C. / Davie HS",Baylor,palmer-williams
86,95.0,Gabe Hall,DL,"6' 6""",296.0,Sr.,3L,"Waller, Texas / Waller HS",Baylor,gabriel-hall
87,96.0,Bryce Boland,K,"5' 11""",172.0,R-Jr.,1L,"Waco, Texas / Midway HS",Baylor,bryce-boland
88,97.0,Cooper Lanz,DL,"6' 3""",270.0,R-So.,1L,"Denton, Texas / Guyer HS",Baylor,cooper-lanz
89,98.0,Jerrell Boykins Jr.,DL,"6' 3""",341.0,R-So.,TR,"Gonzales, La. / East Ascension HS",Baylor,jerrell-boykins-jr
90,98.0,Isaiah Hankins,K,"6' 0""",189.0,R-So.,1L,"Little Rock, Ark. / Little Rock Christian",Baylor,isaiah-hankins
91,99.0,Tre Emory,DL,"6' 2""",318.0,R-Fr.,RS,"Mount Pleasant, Texas / Mount Pleasant HS",Baylor,tre-emory
92,99.0,Jack Stone,K,"6' 0""",190.0,So.,TR,"Dallas, Texas / Highland Park HS / Michigan State",Baylor,
