,Statistic,#,Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,Previous School,Image,Title
62,,85.0,Cam Pickett,WR,6-0,180.0,So.,"Chicago, Ill.",Ball State,Brooks College Prep,,
63,,4.0,Tyler 'Red' Potts,DB,5-10,182.0,R-Sr.,"Columbus, Ohio",Ball State,Pickerington North HS,,
64,,19.0,Nick Presley,WR,6-0,180.0,So.,"Cincinnati, Ohio",Ball State,Walnut Hills HS,,
65,,57.0,Nathan Reichert,DL,6-3,261.0,Jr.,"Lewistown, Ohio",Ball State,Indian Lake HS,,
66,,3.0,Jordan Riley,DB,6-1,195.0,Jr.,"Clinton, Md.",Ball State,National Christian Academy,,
67,,43.0,Danny Royster,LB,6-4,215.0,So.,"Indianapolis, Ind.",Ball State,Lawrence North HS,,
68,,94.0,Jack Sape,DL,6-4,292.0,R-Sr.,"Bloomfield Hills, Mich.",Ball State,Bloomfield Hills HS,,
69,,28.0,Blair Schonhorst,DB,6-0,180.0,So.,"St. Louis, Mo.",Ball State,Christian Brothers College HS,,
70,,13.0,Kadin Semonza,QB,6-1,190.0,Fr.,"Mission Viejo, Calif.",Ball State,Mission Viejo HS,,
71,,81.0,Zavier Simpson,WR,6-3,210.0,R-So.,"Indianapolis, Ind.",Ball State,Wake Forest,,
72,,21.0,Latrelle Smith,DB,5-10,170.0,R-Jr.,"Hampton, Va.",Ball State,William & Mary,,
73,,33.0,DD Snyder,DB,6-0,185.0,R-So.,"Tampa, Fla.",Ball State,Illinois,,
74,,22.0,Charlie Spegal,RB,5-10,221.0,R-Jr.,"New Palestine, Ind.",Ball State,Indiana,,
75,,56.0,Joey Stemler,LB,6-2,230.0,R-So.,"Cleves, Ohio",Ball State,Elder HS,,
76,,75.0,Corey Stewart,OL,6-6,322.0,Jr.,"Nashville, Tenn.",Ball State,East Nashville HS,,
77,,24.0,Alex Stirn,DB,6-2,186.0,R-So.,"Metamora, Ind.",Ball State,North Decatur HS,,
78,,23.0,Loren Strickland,DB,5-10,200.0,R-Sr.,"Carpentersville, Ill.",Ball State,University of Indianapolis,,
79,,45.0,Max Sullivan,TE,6-5,245.0,So.,"Greenwood, Ind.",Ball State,Whiteland Community HS,,
80,,77.0,Taran Tyo,OL,6-4,300.0,So.,"Greenville, Ohio",Ball State,Versailles HS,,
81,,44.0,Maximus Webster,TE,6-2,200.0,So.,"Sheridan, Ind.",Ball State,Westfield HS,,
82,,50.0,Jackson Wiegold,LB,6-2,220.0,R-So.,"Vernon Hills, Ill.",Ball State,Vernon Hills HS,,
83,,6.0,Tavion Woodard,DL,6-4,259.0,R-Jr.,"West Lafayette, Ind.",Ball State,West Lafayette HS,,
0,,,Mike Neu,,,,,,Ball State,,,Head Coach
1,,,Tyler Stockton,,,,,,Ball State,,,Assistant Head Coach/Defensive Coordinator/Inside Linebackers Coach
2,,,Kevin Lynch,,,,,,Ball State,,,Co-Offensive Coordinator/Quarterbacks Coach
3,,,Cory Connolly,,,,,,Ball State,,,Special Teams Coordinator/Outside Linebackers Coach
4,,,Jared Elliott,,,,,,Ball State,,,Co-Offensive Coordinator/Tight Ends Coach
5,,,Vic Hall,,,,,,Ball State,,,Passing Game Coordinator/Defensive Backs Coach
6,,,Joey Hecklinski,,,,,,Ball State,,,Running Backs Coach/Recruiting Coordinator
7,,,Colin Johnson,,,,,,Ball State,,,Running Game Coordinator/Offensive Line Coach
8,,,Cedric Cormier,,,,,,Ball State,,,Wide Receivers Coach
9,,,Adam Morris,,,,,,Ball State,,,Defensive Line Coach
10,,,Nate Atkins,,,,,,Ball State,,,Defensive Backs / Nickels Coach
11,,,Jack Connolly,,,,,,Ball State,,,"Graduate Assistant, Offense"
12,,,Morgan Hagee,,,,,,Ball State,,,"Graduate Assistant, Special Teams and Recruiting"
13,,,Logan Hale,,,,,,Ball State,,,"Graduate Assistant, Defense"
14,,,Cole Hoover,,,,,,Ball State,,,"Graduate Assistant, Offensive Line"
15,,,Demetrius Murray,,,,,,Ball State,,,"Graduate Assistant, Defensive Backs"
16,,,Jacob White,,,,,,Ball State,,,Defensive Graduate Assistant
0,,,Byron Ellis,,,,,,Ball State,,,General Manager
1,,,Madison Sweezy,,,,,,Ball State,,,Assistant Director of Football Operations
2,,,Aaron Ingram,,,,,,Ball State,,,Recruiting and Personnel Specialist
3,,,Ben Armer,,,,,,Ball State,,,"Director Strength and Conditioning, Football"
4,,,Dan Wenger,,,,,,Ball State,,,Assistant Strength and Conditioning Coach
5,,,Jordan Ward,,,,,,Ball State,,,"Graduate Assistant, Strength and Conditioning"
6,,,Chris Peduzzi,,,,,,Ball State,,,Director of Sports Medicine
7,,,Chase Britt,,,,,,Ball State,,,Assistant Athletic Trainer
8,,,Hutch Call,,,,,,Ball State,,,Assistant Athletic Trainer
9,,,Jack Bies,,,,,,Ball State,,,Head Football Equipment Manager
10,,,Nick Kincaid,,,,,,Ball State,,,Video/Creative Content Coordinator
