,Statistic,#,Image,Full Name,Pos.,Ht.,Wt.,Year,Current School Name,Letters,Hometown,HIgh School,Previous School,Name,Title
41,,38.0,,Daniel Dufour,CB,5-10,165.0,R-Fr.,Northwestern State,0.0,"Covington, La.",St. Paul's HS,,,
42,,39.0,,Ian Bell,WR,5-8,160.0,R-So.,Northwestern State,1.0,"Baton Rouge, La.",Mentorship Academy,,,
43,,40.0,,Tory Morgan,LB,5-11,215.0,R-Fr.,Northwestern State,0.0,"New Orleans, La.",Edna Karr HS,,,
44,,42.0,,Jay Sturgis,TE,5-10,250.0,R-So.,Northwestern State,1.0,"New Orleans, La.",Archbishop Rummel HS,,,
45,,42.0,,Jaeden Ward,LB,6-2,220.0,Sr.,Northwestern State,2.0,"Wallis, Texas",Brazos HS,Trinity Valley CC,,
46,,43.0,,Kyren Brown,LB,5-10,220.0,Jr.,Northwestern State,1.0,"Shreveport, La.",Northwood HS,Arkansas Monticello,,
47,,45.0,,Danny Sears,LB,6-0,220.0,R-Fr.,Northwestern State,0.0,"Covington, La.",St. Paul's HS,,,
48,,46.0,,Scotty Roblow,K/P,6-5,175.0,Jr.,Northwestern State,2.0,"Shreveport, La.",C. E. Byrd HS,,,
49,,47.0,,Andrew Barnhill,LS,6-0,225.0,So.,Northwestern State,1.0,"Shreveport, La.",Evangel Christian Academy,,,
50,,50.0,,Cameron Vaughn,OL,6-6,300.0,Jr.,Northwestern State,1.0,"Orlando, Fla.",Haines City HS,Trinity Valley CC / Central Michigan,,
51,,51.0,,Chad Gooden Jr.,LB,6-0,230.0,R-Fr.,Northwestern State,0.0,"Westwego, La.",Archbishop Shaw HS,,,
52,,54.0,,Kendal Harmon,DL,6-2,260.0,R-So.,Northwestern State,1.0,"Crowley, La.",Crowley HS,,,
53,,55.0,,Sawyer Benson,LS,6-1,185.0,R-Fr.,Northwestern State,0.0,"Shreveport, La.",C.E. Byrd HS,,,
54,,55.0,,JaQuon Lott,NT,6-4,315.0,R-Jr.,Northwestern State,0.0,"Lambert, Miss.",Madison Shannon Palmer HS,Itawamba CC,,
55,,56.0,,Matt Mabry,OL,6-3,305.0,R-Jr.,Northwestern State,0.0,"Mendenhall, Miss.",Mendenhall HS,Jones College,,
56,,57.0,,Riley Birdwell,OL,6-4,315.0,So.,Northwestern State,1.0,"Nacogdoches, Texas",Nacogdoches HS,,,
57,,58.0,,Coby James,OL,6-3,274.0,R-So.,Northwestern State,1.0,"Midlothian, Texas",Midlothian Heritage HS,,,
58,,59.0,,Maurice Campbell II,DT,6-2,305.0,Sr.,Northwestern State,2.0,"Memphis, Tenn.",Ridgeway HS,Dodge City CC,,
59,,64.0,,Brody Heard,OL,6-3,310.0,R-So.,Northwestern State,1.0,"Alexandria, La.",Holy Savior Menard HS,,,
60,,65.0,,Brayden Staggs,OL,6-4,300.0,So.,Northwestern State,1.0,"Cypress, Texas",Langham Creek HS,,,
61,,66.0,,D'Andre Richard,OL,6-3,300.0,Jr.,Northwestern State,2.0,"Baton Rouge, La.",Brusly HS,Dodge City CC,,
62,,67.0,,Jordan Cooper,OL,6-4,310.0,Jr.,Northwestern State,2.0,"Ennis, Texas",Ennis HS,,,
63,,68.0,,Kaden Garcia,OL,6-4,272.0,R-Fr.,Northwestern State,0.0,"Baytown, Texas",Barbers Hill HS,,,
64,,71.0,,Stevie Ballard,OL,6-6,300.0,Jr.,Northwestern State,2.0,"Terry, Miss.",Central Hinds Academy,La Tech,,
65,,72.0,,Rod Chaney,OL,6-6,330.0,Sr.,Northwestern State,1.0,"Houston, Texas",Alief Elsik HS,Kilgore College,,
66,,75.0,,Jordan McClaine,OL,6-3,295.0,R-So.,Northwestern State,1.0,"New Orleans, La.",Ruston HS,,,
67,,77.0,,Tyler McMillan,OL,6-6,315.0,So.,Northwestern State,0.0,"Detroit, Mich.",River Rouge HS,Mississippi Valley State,,
68,,81.0,,T.J. Johnson,WR,6-4,175.0,R-Fr.,Northwestern State,0.0,"Alexandria, La.",Alexandria Senior HS,,,
69,,82.0,,Evan Kern,K/P,6-0,175.0,R-Fr.,Northwestern State,0.0,"Prairieville, La.",East Ascension HS,,,
70,,84.0,,Travon Jones,TE,6-7,220.0,So.,Northwestern State,1.0,"Miami, Fla.",Dutchtown HS,Chattanooga,,
71,,85.0,,Christian Thomas,WR,6-0,160.0,R-Fr.,Northwestern State,0.0,"Logansport, La.",Logansport HS,McNeese,,
72,,86.0,,Duce Hart,RB,5-10,162.0,R-Fr.,Northwestern State,0.0,"Malakoff, Texas",Malakoff HS,,,
73,,88.0,,Stanley King,WR,6-6,200.0,Jr.,Northwestern State,2.0,"Camden, N.J.",Woodrow Wilson HS,Rutgers,,
74,,89.0,,Dane Wallace,WR,5-8,176.0,R-So.,Northwestern State,1.0,"Broussard, La.",Lafayette Christian Academy,,,
75,,93.0,,Ray Gibson,DT,6-2,305.0,Jr.,Northwestern State,1.0,"Philadelphia, Miss.",Neshoba Central HS,East Central CC,,
76,,95.0,,Johnny Mitchell,DT,6-3,325.0,R-So.,Northwestern State,1.0,"Stonewall, La.",North DeSoto HS,,,
77,,97.0,,Nazir Sy,DT,6-3,300.0,Sr.,Northwestern State,0.0,"Norcross, Ga.",Akron/Butler CC/Western Kentucky,,,
78,,99.0,,Donovan Green,NT,6-0,265.0,Jr.,Northwestern State,2.0,"Palmetto, La.",Opelousas Catholic HS,,,
0,,,,,,,,,Northwestern State,,,,,Brad Laird,Head Coach
1,,,,,,,,,Northwestern State,,,,,De'Von Lockett,Assistant Head Coach / Cornerbacks
2,,,,,,,,,Northwestern State,,,,,Beau Blair,Offensive Coordinator / Running Backs / Tight Ends
3,,,,,,,,,Northwestern State,,,,,Weston Glaser,Defensive Coordinator / Safeties
4,,,,,,,,,Northwestern State,,,,,Jeremy Atwell,Assistant Coach - Linebackers
5,,,,,,,,,Northwestern State,,,,,Boone Feldt,Assistant Coach - Offensive Line
6,,,,,,,,,Northwestern State,,,,,Chris Gistorb,Assistant Coach - Defensive Line
7,,,,,,,,,Northwestern State,,,,,Armani Lonardo,Assistant Coach - Wide Receivers
8,,,,,,,,,Northwestern State,,,,,Kyle Washington,Assistant Coach - Quarterbacks
9,,,,,,,,,Northwestern State,,,,,Derrick Berry,Assistant Defensive Line Coach
10,,,,,,,,,Northwestern State,,,,,Rod Patterson,Administrative Graduate Assistant - Safeties
11,,,,,,,,,Northwestern State,,,,,Jake Martinez,Administrative Graduate Assistant - Wide Receivers
12,,,,,,,,,Northwestern State,,,,,Mitchell Volino,Administrative Graduate Assistant - Defensive Line
0,,,,,,,,,Northwestern State,,,,,Elizabeth Holloway,Administrative Assistant
1,,,,,,,,,Northwestern State,,,,,Sonja Pezant,Director of Football Operations / NFL Liaison
2,,,,,,,,,Northwestern State,,,,,Jason Pugh,Assistant Athletics Director for Media Relations
3,,,,,,,,,Northwestern State,,,,,Jason Drury,Director of Sports Medicine
4,,,,,,,,,Northwestern State,,,,,Kalevi Pajuluoma,Assistant Director of Sports Medicine
5,,,,,,,,,Northwestern State,,,,,Breah Hurd,Athletic Trainer
6,,,,,,,,,Northwestern State,,,,,Dr. William Zeichner,Team Physician
7,,,,,,,,,Northwestern State,,,,,Dr. Theodore Jordan,Team Physician
