,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Letters,Image,Name,Title
36,,6.0,Gallil Guillaume,LB,6-1,227.0,Sr.,"Suwanee, Ga. / Lambert",North Alabama,Cornell University,1.0,,,
37,,7.0,Ben Harris,QB,6-1,203.0,R-So.,"Midwest City, Okla. / Carl Albert",North Alabama,University of Oklahoma,1.0,,,
38,,95.0,Elijah Hartnett,TE,6-1,247.0,R-Fr.,"Florence, Ala. / Florence",North Alabama,,0.0,,,
39,,88.0,Kaleb Heatherly,TE,6-5,255.0,So.,"Cullman, Ala. / Cullman",North Alabama,,1.0,,,
40,,80.0,Sawyer Heptinstall,WR,6-2,197.0,R-So.,"Blountsville, Ala. / Blountsville",North Alabama,,2.0,,,
41,,0.0,Jalen Hercules,TE,6-2,218.0,R-Jr.,"Oakland, Calif. / Encina",North Alabama,Laney College,1.0,,,
42,,54.0,Carson Hill,OL,6-1,276.0,R-Fr.,"Cullman, Ala. / Cullman",North Alabama,,0.0,,,
43,,25.0,Keenan Hill,DB,5-11,173.0,R-Fr.,"Detroit, Mich. / James Clemens",North Alabama,,0.0,,,
44,,71.0,Denzel Holder,OL,6-4,326.0,R-Fr.,"Birmingham, Ala. / Huffman",North Alabama,,0.0,,,
45,,85.0,Jakobie Hurley,WR,6-4,192.0,R-Fr.,"Florence, Ala. / Florence",North Alabama,,0.0,,,
46,,94.0,Jake Ingram,DE,6-3,205.0,R-Fr.,"Pelham, Ala. / Pelham",North Alabama,,0.0,,,
47,,8.0,Cameron Jamar,DB,5-8,178.0,R-So.,"New Market, Ala. / Buckhorn",North Alabama,,2.0,,,
48,,17.0,Christian Jones,LB,6-0,218.0,Jr.,"Roanoke, Ala. / Handley",North Alabama,Dodge City Community College,1.0,,,
49,,5.0,Takairee Kenebrew,WR,6-2,190.0,R-Sr.,"Childersburg, Ala. / Childersburg",North Alabama,,5.0,,,
50,,,Brayden Kyle,QB,6-1,217.0,R-Fr.,"Decatur, Ala. / Decatur Heritage Christian Academy",North Alabama,,0.0,,,
51,,1.0,Demarcus Lacey,WR,6-0,181.0,So.,"Birmingham, Ala. / Pleasant Grove",North Alabama,,1.0,,,
52,,,Andrew Leak,LB,6-0,215.0,R-So.,"Franklin, Ga. / Heard County",North Alabama,Middle Tennessee State University,0.0,,,
53,,18.0,Justin Luke,WR,5-11,180.0,R-So.,"Warner Robins, Ga. / Northside",North Alabama,,2.0,,,
54,,31.0,Ryan Madison,DB,5-11,187.0,So.,"Fultondale, Ala. / Pleasant Grove",North Alabama,,1.0,,,
55,,91.0,Jake McCluskey,DT,6-0,267.0,R-Fr.,"Florence, Ala. / Mars Hill Bible School",North Alabama,,0.0,,,
56,,64.0,Mack McCluskey,OL,6-3,297.0,Jr.,"Florence, Ala. / Mars Hill Bible",North Alabama,,3.0,,,
57,,86.0,Phil McDuff,LB,6-0,221.0,R-So.,"Tuscaloosa, Ala. / Tuscaloosa Academy",North Alabama,,3.0,,,
58,,67.0,Logan McInnish,OL,6-4,340.0,R-So.,"Muscle Shoals, Ala. / Mars Hill Bible",North Alabama,,3.0,,,
59,,,James Mitchell,DB,5-10,171.0,R-Fr.,"Decatur, Ala. / Austin",North Alabama,,0.0,,,
60,,,Witt Mitchum,OL,6-6,295.0,R-So.,"McKenzie, Tenn. / McKenzie",North Alabama,Kansas State University,0.0,,,
61,,43.0,Keldan Moore,DL,5-9,249.0,R-So.,"Gallatin, Tenn. / Station Camp",North Alabama,,3.0,,,
62,,46.0,Myles Murphy,RB,5-8,193.0,R-Fr.,"Pensacola, Fla. / Booker T. Washington",North Alabama,,0.0,,,
63,,28.0,Shaun Myers,LB,6-1,208.0,Jr.,"Dayton, Ohio / Northmont",North Alabama,Hocking Technical College,1.0,,,
64,,,Makenly Newbill,DL,6-1,255.0,5th,"Rincon, Ga. / South Effingham",North Alabama,Savannah State University,0.0,,,
65,,,Nathan Ogletree,PK,6-2,170.0,R-Fr.,"Harvest, Ala. / Excalibur Christian",North Alabama,,0.0,,,
66,,48.0,Philip Ossai,DK,6-0,258.0,Sr.,"Conroe, Texas / Oak Ridge",North Alabama,Houston Baptist University,1.0,,,
67,,,Erin Outley,TE,6-4,255.0,R-So.,"Little Rock, Ark. / Parkview",North Alabama,University of Arkansas,0.0,,,
68,,15.0,Jacob Peters,CB,6-0,174.0,Jr.,"Muscle Shoals, Ala. / Muscle Shoals",North Alabama,Samford University,1.0,,,
69,,35.0,A.J. Phillips,LB,6-0,225.0,Jr.,"Mobile, Ala. / Chickasaw",North Alabama,University of South Alabama,1.0,,,
70,,38.0,Garrick Ponder,LB,6-2,229.0,R-Fr.,"Largo, Fla. / Pinellas Park",North Alabama,,0.0,,,
71,,32.0,Maleek Pope,RB,5-9,197.0,R-Fr.,"Sylacauga, Ala. / Sylacauga",North Alabama,,0.0,,,
72,,,Jaylen Powell,DB,5-11,190.0,So.,"Memphis, Tenn. / St. Benedict",North Alabama,Northwest Mississippi Community College,0.0,,,
73,,89.0,Kenny Rawls,TE,6-3,228.0,R-Jr.,"Franklin, Tenn. / Battle Ground Academy",North Alabama,,4.0,,,
74,,,Gregory Reddick,DB,5-11,195.0,R-Jr.,"Miami, Fla. / Carol City",North Alabama,Saint Francis University,0.0,,,
75,,,Jack Rice,SP,6-1,165.0,Fr.,"Harvest, Ala. / Sparkman",North Alabama,,0.0,,,
76,,,Aidan Robinson,LB,6-2,216.0,R-So.,"Vestavia Hills, Ala. / Vestavia Hills",North Alabama,,2.0,,,
77,,40.0,Scott Robinson,K,5-11,178.0,R-So.,"Iuka, Miss. / Tishomingo County",North Alabama,,2.0,,,
78,,9.0,E.J. Rogers,WR,5-11,178.0,R-Jr.,"Wetumpka, Ala. / Wetumpka",North Alabama,,4.0,,,
79,,74.0,Gage Saint,OL,6-4,289.0,Jr.,Hatton / Troy University,North Alabama,,1.0,,,
80,,,A.J. Seay,DB,6-0,185.0,R-So.,"Decatur, Ga. / Southwest Dekalb",North Alabama,Presbyterian College,0.0,,,
81,,,Ryan Shoop,WR,6-3,178.0,R-Fr.,"Trussville, Ala. / Hewitt-Trussville",North Alabama,,0.0,,,
82,,2.0,Allen Smith,DB,5-9,170.0,R-Jr.,"Culver City, Calif. / Culver City",North Alabama,Univ. of Wyoming / College of the Canyons,1.0,,,
83,,,"Tyrese ""T.J."" Smith",QB,6-2,200.0,R-Jr.,"Fort Lauderdale, Fla. / McArthur",North Alabama,Florida Atlantic University,0.0,,,
84,,76.0,Fau Tai'Vai,OL,6-2,340.0,Jr.,"Melbourne, Australia / Grace Brethren",North Alabama,New Mexico Military Institute,1.0,,,
85,,83.0,Nikki Taylor,WR,5-9,159.0,R-Fr.,"Luverne, Ala. / Luverne",North Alabama,,0.0,,,
86,,56.0,Trenton Townsend,DL,6-4,258.0,Jr.,"Kennesaw, Ga. / Kennesaw Mountain",North Alabama,Hutchinson (Kan.) Community College,1.0,,,
87,,3.0,K.J. Trujillo,DB,6-0,180.0,R-Jr.,"Los Angeles, Calif. / Orange Lutheran",North Alabama,University of Colordao / Wake Forest University,1.0,,,
88,,6.0,Noah Walters,QB,6-0,190.0,So.,"Lincoln, Neb. / Lincoln East",North Alabama,,1.0,,,
89,,14.0,Kobe Warden,WR,5-9,155.0,R-Jr.,"Killen, Ala. / Brooks",North Alabama,,3.0,,,
90,,19.0,Dakota Warfield,WR,6-1,197.0,Sr.,"Alpharetta, Ga. / Milton",North Alabama,Mt. San Antonio College,1.0,,,
91,,73.0,Edgerrin Watson,OL,6-2,270.0,R-Fr.,"Huntsville, Ala. / James Clemens",North Alabama,,0.0,,,
92,,,Edwin White Schultz,DB,6-1,205.0,R-So.,"Mobile, Ala. / Baker",North Alabama,University of Kansas,0.0,,,
93,,21.0,Ashaad Williams,LB,6-2,178.0,R-So.,"Russellville, Ala. / Russellville",North Alabama,,2.0,,,
94,,,Grant Wisdom,DL,5-11,278.0,R-Jr.,"Muscle Shoals, Ala. / Deshler",North Alabama,Austin Peay State University,0.0,,,
95,,13.0,Barry Womack,DB,6-2,187.0,Sr.,"Montgomery, Ala. / Autauga Academy",North Alabama,Trinity Valley Community College,1.0,,,
96,,12.0,Jaquan Woods,WR,5-8,164.0,R-So.,"Gadsden, Ala. / Gadsden City",North Alabama,,2.0,,,
97,,68.0,Collin Wright,OL,6-3,308.0,R-Fr.,"Muscle Shoals, Ala. / Muscle Shoals",North Alabama,,0.0,,,
98,,65.0,Stevie Young,OL,6-4,293.0,Sr.,"Ft. Smith, Ark. / Northside",North Alabama,Hutchinson Community College,1.0,,,
0,,,,,,,,,North Alabama,,,,Brent Dearmon,Head Football Coach
1,,,,,,,,,North Alabama,,,,Brock Caraboa,Assistant Head Coach / Defensive Coordinator
2,,,,,,,,,North Alabama,,,,Kevin Wewers,Assistant Coach / Offensive Coordinator / Tight Ends
3,,,,,,,,,North Alabama,,,,Caleb Carbine,Assistant Football Coach / Offensive Line
4,,,,,,,,,North Alabama,,,,Morgan Cruce,Assistant Coach / Running Backs / Director of Football Operations
5,,,,,,,,,North Alabama,,,,Marc St. Felix,Assistant Coach / Defensive Backs
6,,,,,,,,,North Alabama,,,,DeShaun Davis,Assistant Coach / Linebackers
7,,,,,,,,,North Alabama,,,,Jake Bentley,Assistant Coach / Quarterbacks / Video Coordinator
8,,,,,,,,,North Alabama,,,,Samie Parker,Assistant Coach / Wide Receivers
9,,,,,,,,,North Alabama,,,,Luke Roth,Assistant Coach / Special Teams Coordinator / Nickels
10,,,,,,,,,North Alabama,,,,Thomas Johnston,Assistant Coach / Defensive Line
11,,,,,,,,,North Alabama,,,,Edward Krajewski,Graduate Assistant / Offense
12,,,,,,,,,North Alabama,,,,Kade Glenn,Graduate Assistant / Defense
13,,,,,,,,,North Alabama,,,,Hayden Bryant,Student Assistant / Offense
0,,,,,,,,,North Alabama,,,,Josh Penny,"Associate Athletic Director for Sports Medicine(Football, Men's Golf)"
1,,,,,,,,,North Alabama,,,,Steve Herring,"Head Strength & Conditioning Coordinator(Football, Softball, M/W Tennis)"
2,,,,,,,,,North Alabama,,,,Erin McFry,Assistant Director of Football Operations
3,,,,,,,,,North Alabama,,,,Logan Ellis,Head Football Equipment Manager
