,Unnamed: 0,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Current School Name,Hometown,High School,Previous School,Title,Yr.,Hgt.,Wgt.,#,Full Name,Hometown/Previous School,Hometown (Prev School),Year,Pos,Academic Year,Hometown / High School,C,Hometown/High School,Unnamed: 7,Exp.,College,Class,Major,School,Hometown(Prev School),Hometown / Last School,Transfer,Player,CL.,NAME,POS,HT,WT,Name.1,Prev School,Yr.-Exp.,Custom Field 1,Custom Field 2,Custom Field 3,Hometown / High School / Prep (Previous College),Twitter,Instagram,FULL NAME,POS.,HT.,WT.,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,MAJOR,High School / Prev. School,Letters,Photo,HIgh School,Hometown / High School (Last School),Previous College,Facebook,Previous University,High School (Prev. School),2022-23 Football Coaches,2022-23 Football Coaches.1,Eligibility,Position,Height,Weight,Number,Opendorse
42,42,,38,,Jelani Vassell,DB,5-11,185.0,,North Carolina Central,,,Jireh Prep (NC),,So.,,,,,,,,,,"Tampa, Fla. / Wesley Chapel HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,,39,,Kaleb Washington,WR,6-1,195.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Charlotte, N.C. / Mallard Creek HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,,40,,Matthew Brown,TE,6-2,235.0,,North Carolina Central,,,University of Georgia,,R-Jr.,,,,,,,,,,"Guyton, Ga. / South Effingham HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,,40b,,Owen Finley,LB,6-1,200.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"High Point, N.C. / Ledford Sr. HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,41,,Isaiah Lawson,DB,6-1,200.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Queens, N.Y. / Butler HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,,42,,Jayden Flaker,LB,6-4,215.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Scarborough, Maine / Scarborough HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,42b,,Xavier Puller,WR,6-3,,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Temple Hills, Md. / TC Williams HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,,43,,Cameron Brewington,TE,6-4,255.0,,North Carolina Central,,,,,R-Sr.,,,,,,,,,,"Charlotte, N.C. / South Mecklenburg HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,,43b,,Josh Harris,LB,6-2,190.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Cary, N.C. / Cary HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,,44,,Albert Redd,LB,6-2,230.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Kernersville, N.C. / Glenn HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,,45,,Jaki Brevard,LB,6-0,210.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Durham, N.C. / Southern HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,,46,,Malcolm Reed,DB,6-2,180.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Raleigh, N.C. / Cardinal Gibbons HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,,47,,Mykah Stone,LS,6-0,210.0,,North Carolina Central,,,UNC-Pembroke,,Jr.,,,,,,,,,,"Charlotte, N.C. / Hickory HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,,49,,Corey Peterson,LB,6-1,215.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Wake Forest, N.C. / Heritage HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,,50,,Thomas Johnson,DL,6-3,235.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Lawndale, Calif. / Lawndale HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,,51,,Corey Bullock,OL,6-4,315.0,,North Carolina Central,,,,,Jr.,,,,,,,,,,"Accokeek, Md. / Gwynn Park HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,,52,,Xi Simpson,OL,6-2,290.0,,North Carolina Central,,,Wingate University,,R-Sr.,,,,,,,,,,"Chester, S.C. / Chester HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,,53,,Deontrae Brown,DL,6-6,210.0,,North Carolina Central,,,,,Jr.,,,,,,,,,,"Durham, N.C. / Hillside HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,,54,,Max U'Ren,LB,6-2,225.0,,North Carolina Central,,,,,R-Fr.,,,,,,,,,,"Winston-Salem, N.C. / Mount Tabor HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,,55,,Robert Mitchell,OL,6-3,305.0,,North Carolina Central,,,Lackawanna College,,R-Sr.,,,,,,,,,,"Millsboro, Del. / Cape Henlopen HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,,56,,Darrin Johnson,DL,6-0,285.0,,North Carolina Central,,,,,R-Fr.,,,,,,,,,,"Lithonia, Ga. / Tucker HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,,57,,Carlos Beltran-Rodriguez,PK,5-9,175.0,,North Carolina Central,,,,,Jr.,,,,,,,,,,"Burlington, N.C. / Hugh M. Cummings HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,,58,,Marshall Jean,LS,5-9,215.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Garner, N.C. / Garner HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,,59,,Juan Velarde,P,5-10,190.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Anderson, S.C. / T.L. Hanna HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,,61,,Torrie Ferguson,OL,6-1,265.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,,62,,Noah McKinney,OL,6-4,295.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Duncan, S.C. / Byrnes HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,,65,,Trevon Humphrey,OL,6-4,250.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Greensboro, N.C. / Dudley HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,,66,,Kideam Diouf,OL,6-5,295.0,,North Carolina Central,,,Arkansas State Univ.,,R-Sr.,,,,,,,,,,"Elkton, Md. / Eastern Christian Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,,67,,Brian Hardy,OL,6-2,285.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Greenville, N.C. / South Central HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,,68,,Sirr Green,OL,6-3,285.0,,North Carolina Central,,,,,So.,,,,,,,,,,Virgin Islands / Camden Military Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,,69,,Jordan McGill,OL,6-4,285.0,,North Carolina Central,,,,,R-Fr.,,,,,,,,,,"Green Cove Springs, Fla. / Clay HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,,70,,Chris Escalera,OL,6-2,305.0,,North Carolina Central,,,,,Jr.,,,,,,,,,,"Lexington, N.C. / North Davidson HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,,71,,Da'Quan Thomas,OL,6-2,275.0,,North Carolina Central,,,University of Florida,,R-So.,,,,,,,,,,"West Palm Beach, Fla. / Dwyer HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,,73,,Farrell Opoku,OL,6-2,340.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,,74,,Taleem Thompson,OL,6-5,290.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,,75,,Taron Williams,OL,6-8,330.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Charlotte, N.C. / South Mecklenburg HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,,76,,Torricelli Simpkins III,OL,6-5,310.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Charlotte, N.C. / Olympic HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,,77,,Seven Warren,OL,6-3,320.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Newport News, Va. / Warwick HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,,78,,Jaden McGee,OL,6-4,295.0,,North Carolina Central,,,Navarro College,,Jr.,,,,,,,,,,"Keller, Texas / Fossil Ridge HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,,79,,Brendin Benoit,DL,6-0,240.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Playa del Rey, Calif. / Corona HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,,80,,Marseille Miller,WR,6-1,170.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Jacksonville, N.C. / Northside HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,,81,,Tyler Barnes,TE,6-4,235.0,,North Carolina Central,,,,,Sr.,,,,,,,,,,"Charlotte, N.C. / West Mecklenburg HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,,83,,Luke Bracey,TE,6-6,255.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Rock Hill, S.C. / Rock Hill HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,,83b,,Barry Campbell,WR,6-3,180.0,,North Carolina Central,,,,,R-Sr.,,,,,,,,,,"Laurinburg, N.C. / Scotland HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,,84,,Kyle Morgan,TE,6-2,230.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Holly Springs, N.C. / Holly Springs HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,,85,,Chauncey Spikes,WR,6-2,200.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Burtonsville, Md. / Rock Creek Christian Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,,86,,Tynez Warner,WR,5-8,160.0,,North Carolina Central,,,,,Sr.,,,,,,,,,,"Ridgely, Md. / North Caroline HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,,87,,Aaron Gilbert,TE,6-4,270.0,,North Carolina Central,,,,,R-Sr.,,,,,,,,,,"Upper Marlboro, Md. / St. Vincent Pallotti HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,,88,,Joaquin Davis,WR,6-4,190.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Durham, N.C. / Charles E. Jordan HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,,89,,Adrian Olivo,PK,5-10,185.0,,North Carolina Central,,,,,Jr.,,,,,,,,,,"Plant City, Fla. / Armwood HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,,90,,Dalvin Hall,DL,6-2,345.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Jacksonville, N.C. / Wallace-Rose Hill HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,,91,,Christian Smith,DL,6-2,275.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Jacksonville, N.C. / Northside HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,,92,,Reggie Jarrett,DL,6-2,215.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Raleigh, N.C. / Broughton HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,,93,,Kenneth Royster,DL,6-4,280.0,,North Carolina Central,,,,,So.,,,,,,,,,,"Charlotte, N.C. / Rocky River HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,,94,,Dajour Dixon,DL,6-2,255.0,,North Carolina Central,,,College of the Canyons,,Jr.,,,,,,,,,,"Lancaster, Calif. / Antelope Valley HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,,95,,Khalil McLean,DL,6-3,255.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Angier, N.C. / Harnett Central HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,,96,,Kendrick DuJour,DL,6-5,230.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Jonesboro, Ga. / Mundy's Mill HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,,97,,Jaden Taylor,DL,6-1,280.0,,North Carolina Central,,,Mercer Univ.,,R-So.,,,,,,,,,,"Durham, N.C. / Northern Durham HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,,98,,Jaden Mack,DL,6-2,235.0,,North Carolina Central,,,,,Fr.,,,,,,,,,,"Pearland, Texas / Willowridge HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,,,,Trei Oliver,,,,,North Carolina Central,,,,"Head Coach, Football",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,,,,Matt Leone,,,,,North Carolina Central,,,,"Assistant Coach, Football (Offensive Coordinator/Quarterbacks)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2,,,,Courtney Coard,,,,,North Carolina Central,,,,"Assistant Coach, Football (Defensive Coordinator/Defensive Line)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,3,,,,Cedric Williams,,,,,North Carolina Central,,,,"Assistant Coach, Football (Run Game Coordinator/Offensive Line)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,4,,,,Pete Bennett,,,,,North Carolina Central,,,,"Assistant Coach, Football (Special Teams Coordinator/Wide Receivers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5,,,,Kevin Maurice,,,,,North Carolina Central,,,,"Assistant Coach, Football (Recruiting Coordinator/Running Backs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,6,,,,Claude Clayborne,,,,,North Carolina Central,,,,"Assistant Coach, Football (Linebackers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,7,,,,Tony Spencer,,,,,North Carolina Central,,,,"Assistant Coach, Football (Tight Ends)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,8,,,,Mike Sewell,,,,,North Carolina Central,,,,"Assistant Coach, Football (Safeties)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,9,,,,Tony McRae,,,,,North Carolina Central,,,,"Assistant Coach, Football (Cornerbacks)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,10,,,,Dalton Gifford,,,,,North Carolina Central,,,,"Offensive Assistant, Football",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,11,,,,Jamari Tansmore,,,,,North Carolina Central,,,,"Defensive Assistant, Football",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0,,,,Andrea Perry,,,,,North Carolina Central,,,,"Director of Operations, Football",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,,,,Sydney Jordan,,,,,North Carolina Central,,,,"Operations Assistant, Football",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2,,,,Billy Ruffin,,,,,North Carolina Central,,,,"Equipment Manager, Football",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,3,,,,Christopher Gloetzel,,,,,North Carolina Central,,,,"Video Coordinator, Football",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,DL,6-0,305.0,,North Dakota,,,Northern Illinois,,,,,0.0,Jeffrey Griffin Jr.,,,5th,,,"Homewood, Ill. /",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,WR,6-1,180.0,,North Dakota,,,,,,,,1.0,Bo Belquist,,,Sr.,,,"New Rockford, N.D. / New Rockford-Sheyenne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,QB,6-0,195.0,,North Dakota,,,,,,,,2.0,Tommy Schuster,,,Sr.,,,"Macomb, Mich. / Chippewa Valley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,QB,6-3,205.0,,North Dakota,,,,,,,,3.0,Trey Feeney,,,So.,,,"Moorhead, Minn. / Moorhead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,DB,6-0,180.0,,North Dakota,,,,,,,,3.0,C.J. Siegel,,,5th,,,"La Crosse, Wis. / Logan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,DB,6-1,210.0,,North Dakota,,,Gardner-Webb,,,,,4.0,Malachi Buckner,,,5th,,,"Tucker, Ga. /",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,DB,6-0,185.0,,North Dakota,,,,,,,,5.0,Clayton Bishop,,,So.,,,"Kenosha, Wis. / Indian Trail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,QB,5-11,185.0,,North Dakota,,,,,,,,6.0,Simon Romfo,,,So.,,,"Calvin, N.D. / Langdon Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,RB,5-9,175.0,,North Dakota,,,,,,,,7.0,Luke Skokna,,,Sr.,,,"Hinsdale, Ill. / Hinsdale Central",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,DB,6-0,180.0,,North Dakota,,,,,,,,8.0,Edmund Ocansey,,,So.,,,"Champlin, Minn. / Champlin Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,QB,6-2,210.0,,North Dakota,,,,,,,,9.0,Colton Hackel,,,R-Fr.,,,"Perham, Minn. / Perham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,,,,WR,6-2,175.0,,North Dakota,,,,,,,,10.0,Caden Dennis,,,So.,,,"Kansas City, Mo. / Liberty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,WR,6-0,210.0,,North Dakota,,,South Dakota,,,,,11.0,Wesley Eliodor,,,5th,,,"Fort Lauderdale, Fla. /",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,WR,5-9,185.0,,North Dakota,,,Mesabi Range College,,,,,12.0,Red Wilson,,,Sr.,,,"Americus, Ga. /",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,WR,6-0,190.0,,North Dakota,,,,,,,,13.0,Jack Wright,,,Jr.,,,"Broken Arrow, Okla. / Regent Prep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,QB,6-4,245.0,,North Dakota,,,,,,,,14.0,Quincy Vaughn,,,Sr.,,,"Hamilton, Ontario / Clarkson Football North",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,,,,WR,6-6,240.0,,North Dakota,,,,,,,,16.0,Elijah Klein,,,Jr.,,,"Mandan, N.D. / Mandan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,DB,6-2,195.0,,North Dakota,,,,,,,,17.0,Jamal Dixon,,,R-Fr.,,,"Moorhead, Minn. / Moorhead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,,,,WR,6-3,210.0,,North Dakota,,,,,,,,19.0,Noah Schaffner,,,So.,,,"Bismarck, N.D. / Century",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,DB,6-0,195.0,,North Dakota,,,,,,,,21.0,Sammy Fort,,,Gr.,,,"Lynn, Mass. / Blue Ridge School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,,,,,DB,6-1,190.0,,North Dakota,,,,,,,,22.0,Antonio Bluiett,,,R-Fr.,,,"Buffalo, Minn. / Buffalo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,,,,,DB,6-2,190.0,,North Dakota,,,Northeastern Oklahoma A&M,,,,,23.0,Devin Hembry,,,Sr.,,,"Muskogee, Okla. / Hilldale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,,,,DB,6-2,210.0,,North Dakota,,,,,,,,24.0,Kadon Kauppinen,,,5th,,,"Sun Prairie, Wis. / Sun Prairie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,,,,,DB,6-1,175.0,,North Dakota,,,,,,,,25.0,Teagan Pfeffer,,,R-Fr.,,,"Alexandria, Minn. / Alexandria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,,,,,LB,6-3,230.0,,North Dakota,,,,,,,,26.0,Paine Parks,,,R-Fr.,,,"Grand Forks, N.D. / Red River",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,,,,,DB,6-2,215.0,,North Dakota,,,,,,,,28.0,Matt Koshiol,,,Sr.,,,"Cold Spring, Minn. / Rocori",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,,,,,RB,6-0,205.0,,North Dakota,,,,,,,,28.0,Gaven Ziebarth,,,So.,,,"Cambridge, Minn. / Cambridge-Isanti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,,,,,RB,6-0,200.0,,North Dakota,,,,,,,,29.0,Isaiah Smith,,,Jr.,,,"Minneapolis, Minn. / Benilde-St. Margaret's School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,,,,,DB,5-11,195.0,,North Dakota,,,,,,,,30.0,Peyton Fisher,,,Jr.,,,"Fargo, N.D. / Fargo North",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,,,,,FB,6-1,220.0,,North Dakota,,,,,,,,30.0,Jack Ihry,,,So.,,,"Hope, N.D. / Hope-Page",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,,,,,DB,5-10,175.0,,North Dakota,,,,,,,,31.0,Cole Davis,,,So.,,,"Marengo, Ill. / Marengo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,,,,,LB,6-2,220.0,,North Dakota,,,,,,,,32.0,Dylan Boecker,,,Jr.,,,"Menomonie, Wis. / Menomonie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,,,,,DB,5-11,195.0,,North Dakota,,,,,,,,33.0,Jett Sutton,,,R-Fr.,,,"Kansas City, Mo. / Oak Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,,,,,LB,6-2,225.0,,North Dakota,,,,,,,,34.0,Josh Navratil,,,Sr.,,,"Pine Island, Minn. / Pine Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
