,Name,Title,Current School Name
577,Scottie Graham,Assistant Coach/Running Backs,Arizona
578,Ricky Hunley,Assistant Coach/Defensive Line,Arizona
579,Jason Kaufusi,Assistant Coach/Defensive Ends & Outside Linebackers,Arizona
580,DeWayne Walker,Assistant Coach/Defensive Backs,Arizona
581,Tyler Owens,Director of Strength and Conditioning,Arizona
582,Beyah Rasool,Senior Defensive Analyst,Arizona
583,Michael Switzer,Senior Offensive Analyst,Arizona
584,Darren Andrews,Offensive Analyst,Arizona
585,Brett Arce,Defensive Analyst,Arizona
586,Cason Bicknell,Special Teams Analyst,Arizona
587,Darell Garretson,Offensive Analyst,Arizona
588,Luke McNitt,Offensive Analyst,Arizona
589,Teddy Bolin,Defensive Graduate Assistant,Arizona
590,Dominic Caldwell,Offensive Graduate Assistant,Arizona
591,Ty Nichols,Defensive Graduate Assistant,Arizona
592,Aaron Van Horn,Defensive Graduate Assistant,Arizona
593,Tedy Bruschi,Senior Advisor to the Head Football Coach,Arizona
594,Matthew Hayes,"Associate A.D. Football, Chief of Staff",Arizona
595,Lauren Vossler,Associate Director of Football Operations,Arizona
596,Syndric Steptoe,Director of Player & Community Relations,Arizona
597,Matt Doherty,Director of Player Personnel,Arizona
598,Josh Omura,Coordinator of High School Recruiting,Arizona
599,Brandon Sanders,Coordinator of Football Alumni and High School Relations,Arizona
600,Tyler Luskin,Recruiting Analyst,Arizona
601,Kendel Bennett,Coordinator of On-Campus Recruiting,Arizona
602,Cameron Lemons,Coordinator of Recruiting Strategy,Arizona
603,Steven Gonzales,Creative Media Manager,Arizona
604,Brisa Tzintzun,Coordinator of Social Media,Arizona
605,Aaron Brosz,Assistant Strength Coach,Arizona
606,Ben Hilgart,Assistant Strength Coach,Arizona
607,Trei Mitchell,Assistant Strength Coach,Arizona
608,John Shaw,Assistant Strength Coach,Arizona
609,Barry Boyd,"Assistant Athletic Director, Football Equipment Operations",Arizona
610,Kevin Kikugawa,Head Football Athletic Trainer,Arizona
611,Susana Melendez,Head Football Nutritionist,Arizona
612,Tim Cummins,Director of Football Video Operations,Arizona
613,Brian Riden,Assistant Coordinator of Football Video,Arizona
730,Kenny Dillingham,Head Coach,Arizona State
731,Matt Butterfield,Chief of Staff/Senior Coaching Advisor/Pro Liaison,Arizona State
732,Charlie Ragle,Assistant Head Coach/Special Teams Coordinator,Arizona State
733,Beau Baldwin,Offensive Coordinator/Quarterbacks,Arizona State
734,Brian Ward,Defensive Coordinator,Arizona State
735,Ra'Shaad Samples,Assistant Coach - Wide Receivers/Passing Game Coordinator,Arizona State
736,Shaun Aguano,Assistant Coach - Running Backs,Arizona State
737,Saga Tuitele,Assistant Coach - Offensive Line,Arizona State
738,A.J. Cooper,Assistant Coach - Linebackers,Arizona State
739,Bryan Carrington,Assistant Coach - Cornerbacks,Arizona State
740,Vince Amey,Assistant Coach - Defensive Line,Arizona State
741,Jason Mohns,Assistant Coach - Tight Ends,Arizona State
742,Bobby Wade,Analyst - Offense,Arizona State
743,Joey Muscarella,Analyst - Offense,Arizona State
744,Marvin Lewis,Special Advisor,Arizona State
745,Trent Greene,Analyst - Defense,Arizona State
746,Max Silver,Analyst - Defense,Arizona State
747,Pierre Cormier,Analyst - Special Teams,Arizona State
748,Steve Miller,Graduate Assistant - Offense,Arizona State
749,Ryan Jenkins,Graduate Assistant - Offense,Arizona State
750,Ray Clark,Graduate Assistant - Defense,Arizona State
751,Jordan Lee,Graduate Assistant - Defense,Arizona State
752,Tony DeFeo,Associate Athletic Director for Football Administration,Arizona State
753,Bryan McGinnis,Director of Football Operations,Arizona State
754,D.J. Foster,Manager of Player Development,Arizona State
755,Isaiah Williams,Director of Recruiting Strategy,Arizona State
756,Joe Connolly,Head Coach - Football Sports Performance,Arizona State
757,Clayton Kirven,Assistant Head Coach - Football Sports Performance,Arizona State
758,Colbert Calhoun,Assistant Director - Football Sports Performance,Arizona State
759,Allie Ueckert,On-Campus Recruiting Manager,Arizona State
1002,Butch Jones,Head Coach,Arkansas State
1003,Rob Harley,Assistant Head Coach/Defensive Coordinator,Arkansas State
1004,Keith Heckendorf,Offensive Coordinator/Quarterbacks,Arkansas State
1005,Marquase Lovings,Associate Head Coach/Running Backs,Arkansas State
1006,Josh Conklin,Special Teams Coordinator/Safeties,Arkansas State
1007,Nick Grimes,Tight Ends,Arkansas State
1008,Andy Kwon,Offensive Line,Arkansas State
1009,Derrick Lett,Wide Receivers,Arkansas State
1010,Vinson Reynolds,Defensive Line/Defensive Run Game Coordinator,Arkansas State
1011,Jon Shalala,Linebackers,Arkansas State
1012,Jay Simpson,Defensive Backs/Defensive Pass Game Coordinator,Arkansas State
1013,Blake Jackson,Director of Football Opertaions,Arkansas State
1014,Trip Carrico,Assistant AD for Player Personnel,Arkansas State
1015,Keith Stevens,Director of Scouting,Arkansas State
1016,Alex Jones,Offensive Quality Control,Arkansas State
1017,Jeff Jones,Assistant Athletics Director for Athletics Performance,Arkansas State
1018,John Waters,Associate Director of Athletics Performance,Arkansas State
1019,Carter Rowland,Assistant Director of Athletics Performance,Arkansas State
1153,Jeff Monken,Head Coach,Army
1154,Drew Thatcher,Offensive Coordinator,Army
1155,Nate Woody,Defensive Coordinator,Army
1156,Sean Saturnio,Special Teams Coordinator,Army
1157,John Loose,Assistant Head Coach / Outside Linebackers,Army
1158,Matt Drinkall,Co-Offensive Coordinator/Tight Ends,Army
1159,Sean Cronin,Defensive Line,Army
1160,Daryl Dixon,Defensive Pass Game Coordinator/Cornerbacks,Army
1161,Darren Paige,Running Backs,Army
1162,Blake Powers,Tight Ends,Army
1163,Aaron Smith,Wide Receivers,Army
1164,Danny Verpaele,Safeties,Army
1165,Mike Viti,Assistant Head Coach for Offense/Offensive Line,Army
1166,Justin Weaver,Inside Linebackers,Army
1167,Cody Worley,Run Game Coordinator/Quarterbacks,Army
1168,Collin Shank,Defensive Quality Control,Army
1169,Tristan Yeomans,Offensive Quality Control,Army
1170,Conor Hughes,Head Football Strength and Conditioning Coach,Army
1171,Jacob Riedel,Assistant Football Strength & Conditioning Coach,Army
1172,Tim Ismail,Assistant Football Strength & Conditioning Coach,Army
1173,Anthony McArthur,Assistant Football Strength & Conditioning Coach,Army
1174,Brad Bielaniec,Assistant Football Strength & Conditioning Coach,Army
1175,Clayton Kendrick-Holmes,Chief of Staff / Football Operations,Army
1176,Ayden Opfer,Director of Football Operations,Army
1177,Tucker Waugh,Executive Director of Player Personnel,Army
1178,CPT John Voit,Director of Player Development,Army
1179,Eddie Hernon,Director of Player Personnel,Army
1180,Rebecca Perez,Director of Football Recruiting,Army
1181,Jimmy Noel,Director of On-Campus Recruiting,Army
1182,Kamryn Rodriguez,On-Campus Recruiting Coordinator,Army
1183,MAJ Zach Peterson,Admission Support Officer,Army
1184,Jen Guzman,Executive Assistant to Head Coach,Army
1185,Chris Jann,Director of Video Operations,Army
1186,Caedmon Storm,Assistant Director of Video Operations,Army
1187,"Dan McCarthy, PhD",Sport Administrator,Army
1188,Eric Szczepinski,Director of Football Communications,Army
1285,Hugh Freeze,Head Coach,Auburn
1286,Carnell Williams,Associate Head Coach / Running Backs Coach,Auburn
1287,Philip Montgomery,Offensive Coordinator / Quarterbacks Coach,Auburn
1288,Ron Roberts,Defensive Coordinator,Auburn
1289,Ben Aigamaua,Tight Ends Coach,Auburn
1290,Josh Aldridge,Linebackers Coach,Auburn
1291,Marcus Davis,Wide Receivers Coach,Auburn
1292,Zac Etheridge,Secondary Coach / Safeties,Auburn
1293,Jeremy Garrett,Defensive Line Coach,Auburn
1294,Wesley McGriff,Secondary Coach / Cornerbacks,Auburn
1295,Jake Thornton,Offensive Line Coach,Auburn
1296,Andrew Aaron,Director of Athletics Creative Video / War Eagle Productions,Auburn
1297,Kent Austin,Special Assistant to the HC - Quality Control,Auburn
1298,Tim Baggett,Director of Scouting,Auburn
1299,Sam Beckenstein,Assistant Director of Player Personnel & Scouting,Auburn
1300,Brendt Bedsole,Director of High School Relations / Pro Liaison,Auburn
1301,Matt Bevins,Associate AD / Football Chief of Staff,Auburn
1302,Joyce Boles,Administrative Support Associate,Auburn
1303,Jorrell Bostrom,Director of Player Development,Auburn
1304,Logan Bradley,Analyst - Offense,Auburn
1305,Tanner Burns,Special Teams Coordinator,Auburn
1306,Tyler Cole,Director of Football Creative Video,Auburn
1307,Zach Crisler,Analyst - Offense,Auburn
1308,Danielle Gillen,Head Football Sports Dietitian,Auburn
1309,Claudia Gleaton,Administrative Assistant / Recruiting,Auburn
1310,Matt Hard,Director of Football Technology & Digital Innovation,Auburn
1311,Kennedy Harvey,Director of On-Campus Recruiting Operations,Auburn
1312,B.J. Hayes,Assistant Strength & Conditioning,Auburn
1313,Ty Holder,Defensive Analyst,Auburn
1314,Jake Jiannoni,Graduate Assistant - Defense,Auburn
1315,Ethan Johnson,Director of Recruiting Communications & Strategy,Auburn
1316,Cam Josse,Assistant Strength & Conditioning,Auburn
1317,Kevin Kcehowski,Assistant Strength & Conditioning,Auburn
1318,Alex Keller,Director of Football Creative,Auburn
1319,Vontrell King-Williams,Analyst - Defense (DL),Auburn
1320,Tucker LaGrone,Admin Operations Assistant,Auburn
1321,Josh Linam,Analyst - Defense (LB),Auburn
1322,Zach Mallard,Graduate Assistant - Defense,Auburn
1323,Dana Marquez,Associate AD for Equipment Operations,Auburn
1324,Grant Miller,Assistant Director of Player Personnel & Scouting,Auburn
1325,John Miller,Associate AD / General Manager,Auburn
1326,AK Mogulla,Director of Player Personnel,Auburn
1327,Cannon Montgomery,Graduate Assistant - Offense,Auburn
1328,Paxton Montgomery,Special Teams Intern,Auburn
1329,Thomas Morton,Offensive Intern,Auburn
1330,Austin Perryman,Assistant Director of Football Creative Content & Imagery,Auburn
1331,Aaron Pittard,Player Personnel Analyst,Auburn
1332,Brad Rapacz,Director of Olympic Sports Equipment & Football Press Box Communications,Auburn
1333,Trovon Reed,Director of Football & Recruiting Relations,Auburn
1334,Will Reid,Director of Football Video,Auburn
1335,Tyler Renard,Director of Football Equipment Operations,Auburn
1336,Ragan Reynolds,Executive Assistant for Football,Auburn
1337,Mikel Riggs,Director of Football Operations,Auburn
1338,Natasha Sanders,Director of Recruit and Alumni Engagement / Newcomer Transition,Auburn
1339,Kendall Simmons,Analyst - Offense,Auburn
1340,Hunter Smithwick,Assistant Equipment Manager for Football / RFID Inventory & Communications Operations,Auburn
1341,Jesse Stone,Senior Analyst - Offense,Auburn
1342,Dom Studzinski,Assistant Head Coach / Head Strength & Conditioning,Auburn
1343,Evan Tyler,Assistant Director of Football Operations / Player Development,Auburn
1344,JJ Wahlquist,Director of Branding & Content Strategy,Auburn
1345,Bianca Webb,Director of Recruiting Operations & Football Events,Auburn
1346,Xaria Wiggins,On-Campus Recruiting Assistant,Auburn
1347,Chette Williams,FCA Director / Team Chaplain,Auburn
1348,Jeremiah Wilson,Analyst - Defense,Auburn
1349,Reilly Wooten,Assistant On-Campus Recruiting Coordinator,Auburn
1434,Mike Neu,Head Coach,Ball State
1435,Tyler Stockton,Assistant Head Coach/Defensive Coordinator/Inside Linebackers Coach,Ball State
1436,Kevin Lynch,Co-Offensive Coordinator/Quarterbacks Coach,Ball State
1437,Cory Connolly,Special Teams Coordinator/Outside Linebackers Coach,Ball State
1438,Jared Elliott,Co-Offensive Coordinator/Tight Ends Coach,Ball State
1439,Vic Hall,Passing Game Coordinator/Defensive Backs Coach,Ball State
1440,Joey Hecklinski,Running Backs Coach/Recruiting Coordinator,Ball State
1441,Colin Johnson,Running Game Coordinator/Offensive Line Coach,Ball State
1442,Cedric Cormier,Wide Receivers Coach,Ball State
1443,Adam Morris,Defensive Line Coach,Ball State
1444,Nate Atkins,Defensive Backs / Nickels Coach,Ball State
1445,Jack Connolly,"Graduate Assistant, Offense",Ball State
1446,Morgan Hagee,"Graduate Assistant, Special Teams and Recruiting",Ball State
1447,Logan Hale,"Graduate Assistant, Defense",Ball State
1448,Cole Hoover,"Graduate Assistant, Offensive Line",Ball State
1449,Demetrius Murray,"Graduate Assistant, Defensive Backs",Ball State
1450,Jacob White,Defensive Graduate Assistant,Ball State
1451,Byron Ellis,General Manager,Ball State
1452,Madison Sweezy,Assistant Director of Football Operations,Ball State
1453,Aaron Ingram,Recruiting and Personnel Specialist,Ball State
1454,Ben Armer,"Director Strength and Conditioning, Football",Ball State
1455,Dan Wenger,Assistant Strength and Conditioning Coach,Ball State
1456,Jordan Ward,"Graduate Assistant, Strength and Conditioning",Ball State
1457,Chris Peduzzi,Director of Sports Medicine,Ball State
1458,Chase Britt,Assistant Athletic Trainer,Ball State
1459,Hutch Call,Assistant Athletic Trainer,Ball State
1460,Jack Bies,Head Football Equipment Manager,Ball State
1461,Nick Kincaid,Video/Creative Content Coordinator,Ball State
1654,Jeff Hafley,The Gregory P. Barber '69 and Family Head Coach,Boston College
1655,Aazaar Abdul-Rahim,Co-Defensive Coordinator/Defensive Backs,Boston College
1656,Matt Applebaum,Offensive Line,Boston College
1657,Rob Chudzinski,Associate Head Coach for Offense/Offensive Development,Boston College
1658,Sean Duggan,Co-Defensive Coordinator/Linebackers,Boston College
1659,Savon Huggins,Running Backs,Boston College
1660,Vince Oghobaase,Defensive Line,Boston College
1661,Paul Rhoads,Outside Linebackers,Boston College
1662,Steve Shimko,Offensive Coordinator/Quarterbacks,Boston College
1663,Matt Thurin,Special Teams Coordinator/Safeties,Boston College
1664,Darrell Wyatt,Wide Receivers/Pass Game Coordinator,Boston College
1665,Phil Matusz,Head Football Strength and Conditioning Coach,Boston College
1746,Scot Loeffler,Head Coach,Bowling Green
1747,Steve Morrison,Co-Defensive Coordinator (Inside Linebackers),Bowling Green
1748,Sammy Lawanson,Co-Defensive Coordinator (Outside Linebackers),Bowling Green
1749,Greg Nosal,Co-Offensive Coordinator/Run Game Coordinator (Offensive Line),Bowling Green
1750,Max Warner,Co-Offensive Coordinator (Quarterbacks),Bowling Green
1751,Alex Bayer,Special Teams Coordinator (Tight Ends),Bowling Green
1752,Julian Campenni,Assistant Head Coach/Defensive Run Coordinator (Defensive Line),Bowling Green
1753,Erik Campbell,Passing Game Coordinator (Wide Receivers),Bowling Green
1754,Derrick Jackson,Defensive Pass Game Coordinator (Secondary),Bowling Green
1755,Beyah Rasool,Assistant Coach (Cornerbacks) and Special Teams Assistant,Bowling Green
1756,Brian White,Assistant Coach (Running Backs),Bowling Green
1757,Kevin Tolbert,Football Sports Performance Coach,Bowling Green
1758,Grant Strock,Offensive Graduate Assistant,Bowling Green
1759,Brady Thomas,Defensive Graduate Assistant,Bowling Green
1760,Damaris Linker,Director of Football Operations,Bowling Green
1761,Chris Haase,Director of Player Personnel/Recruiting Coordinator,Bowling Green
1762,Dani Coppes,Head Football Athletic Trainer,Bowling Green
1763,Tony Palmieri,Football Video Coordinator,Bowling Green
1764,Chrissy Steffen,Assistant AD for Student-Athlete Services,Bowling Green
1855,Maurice Linguist,Head Coach,Buffalo
1856,DJ Mangas,Offensive Coordinator/Tight Ends,Buffalo
1857,Robert Wright,Defensive Coordinator,Buffalo
1858,Ron Whitcomb,Quarterbacks/Recruiting Coordinator,Buffalo
1859,Matt Stansfield,Offensive Line,Buffalo
1860,Cedric Douglas,Defensive Line,Buffalo
1861,Kevin Sherman,Wide Receivers,Buffalo
1862,Kevin Corless,Linebackers,Buffalo
1863,Bryan Applewhite,Running Backs,Buffalo
1864,Holman Copeland,Defensive Backs,Buffalo
1865,Mike Caputo,Safeties,Buffalo
1866,Jeremy Cole,Head Football Strength & Conditioning Coach,Buffalo
1867,Ian Gilhousen,Assistant Strength & Conditioning Coach,Buffalo
1868,Jacob Byron,Assistant Strength & Conditioning Coach,Buffalo
1869,Chauncey Scissum,Assistant Strength & Conditioning Coach,Buffalo
1870,Neil Herman,Director of Football Operations/Academic Liaison,Buffalo
1871,Rich Massaro,Director of Player Personnel & Scouting/Pro Liasion,Buffalo
1872,Ian Fried,Director of Recruiting,Buffalo
1873,Sean McKeone,Offensive Quality Control,Buffalo
1874,Ethan Sheirer,Senior Special Teams Analyst,Buffalo
1875,Mickey Jacobs,Defensive Analyst and Quality Control,Buffalo
1876,Ryan Barry,Special Teams Quality Control,Buffalo
1877,Aaron Cantu,Video Coordinator,Buffalo
1878,Brandon Baker,Creative Content,Buffalo
1879,Emily Galbraith,Team Nutritionist,Buffalo
1880,Sten Homme,Scouting & Operations Intern,Buffalo
1881,Nathan Jones,Graduate Assistant,Buffalo
1882,Jackson Kimble,Graduate Assistant,Buffalo
1883,Cade Minton,Graduate Assistant,Buffalo
1884,Ukoh Essang,Graduate Assistant,Buffalo
1885,Julie O'Neill,Administrative Assistant for Head Football Coach,Buffalo
2118,Justin Wilcox,Travers Family Head Football Coach,California
2119,Bill Musgrave,Offensive Coordinator/Quarterbacks,California
2120,Peter Sirmon,Defensive Coordinator/Inside Linebackers,California
2121,Terrence Brown,Defensive Backs,California
2122,Geep Chryst,Tight Ends,California
2123,Andrew Browning,Defensive Line,California
2124,Angus McClure,Offensive Line,California
2125,Vic So'oto,Outside Linebackers,California
2126,Aristotle Thompson,Running Backs,California
2127,Burl Toler III,Wide Receivers/Recruiting Coordinator,California
2128,Tre Watson,Defensive Backs,California
2129,Brian Johnson,Head Athletic Performance Coach,California
2130,Kris Arden,Learning Specialist Coordinator,California
2131,Jake Barger,Graphic Designer,California
2132,Michael Barton,"Quality Control, Special Teams",California
2133,Zac Bocian,Senior Director Of Football Affairs,California
2134,Allen Brown,"Quality Control, Defense",California
2135,Andrew Chang,Athletic Trainer,California
2136,Marshall Cherrington,Director Of Player Personnel,California
2137,Ron Coccimiglio,Director Of Career Development,California
2138,Cheryl Cox,Sports Science Performance Coach,California
2139,Jenny Eberle,Learning Specialist,California
2140,Tim Feaster,Director Of Equipment,California
2141,Matt Fox,Director Of Technology,California
2142,Ben Gaus,Director Of Recruiting Operations,California
2143,Tarik Glenn,Student-Athlete Development Advisor,California
2144,Denis Hallin,Director Of Football Operations,California
2145,Zach Higginbotham,Applied Science & Reconditioning Coordinator,California
2146,Kenny Hill,"Quality Control, Offense",California
2147,"Lindsay Huston, MD",Head Team Physician,California
2148,Kristy Illg PT ATC,Assistant Athletic Trainer,California
2149,Brenden Lambert MS ATC,Head Athletic Trainer,California
2150,Ellen Macomson,Academic Advisor,California
2151,Andrew McGraw,Football Chief of Staff,California
2152,Shawn McGuire,Director Of Academic Support,California
2153,Norman Mo,Operations Assistant/Director Of Communications,California
2154,Joseph Moro,Assistant Director Of Equipment,California
2155,Nina Moskowitz,Learning Specialist,California
2156,David Ortega Jr.,Football Video And Systems Analyst,California
2157,T.J. Owens,Assistant Athletic Performance Coach,California
2158,Benji Palu,Director Of Recruiting,California
2159,Evan Rabinowitz,Director Of Video Production,California
2160,Lindsay Renterias,Assistant Athletic Trainer,California
2161,Michael Saffell,"Graduate Assistant, Offense",California
2162,Debbie Schram,Executive Assistant To Head Coach,California
2163,Ben Hawk Schrider,"Graduate Assistant, Defense",California
2164,Kevin Shubow MED ATC,Assistant Athletic Trainer,California
2165,Austin Taylor,"Graduate Assistant, Defense",California
2166,Zach Werlinger,"Graduate Assistant, Offense",California
2167,Ed Wright,Academic Advisor,California
2267,Jim McElwain,Head Coach,Central Michigan
2268,Robb Akey,Defensive Coordinator,Central Michigan
2269,Paul Petrino,Offensive Coordinator/Wide Receivers,Central Michigan
2270,Michael Zordich,Assistant Head Coach/Defensive Backs,Central Michigan
2271,Cornell Jackson,Running Backs,Central Michigan
2272,Keith Murphy,Special Teams Coordinator/Safeties,Central Michigan
2273,Tavita Thompson,Run Game Coordinator/Offensive Line,Central Michigan
2274,Ryan McNamara,Linebackers,Central Michigan
2275,Jesse Williams,Defensive Line,Central Michigan
2276,Brandon Torrey,Tight Ends/Tackles,Central Michigan
2277,Jake Kostner,Quarterbacks,Central Michigan
2278,Joel Welsh,Director of Strength & Conditioning,Central Michigan
2279,John Leister,Director of Football Operations,Central Michigan
2280,Jay McDowell,Football Video Operations Coordinator,Central Michigan
2281,Chris Calley,Director of Player Personnel,Central Michigan
2282,Michael McGee,Director of Recruiting,Central Michigan
2283,Mark DeBastiani,Senior Director/Football Relations & Student-Athlete Engagement,Central Michigan
2284,Nate Mason,Coordinator/Athletic Equipment Operations,Central Michigan
2285,Da'Quaun Jamison,Defensive Graduate Assistant,Central Michigan
2286,Jack Bush,Offensive Graduate Assistant,Central Michigan
2287,Cody Crawford,Staff Assistant,Central Michigan
2288,Kumehnnu Gwilly,Staff Assistant,Central Michigan
2289,Danny Akey,Student Assistant,Central Michigan
2290,Nick Belay,Student Assistant,Central Michigan
2291,Brandon Hintz,Student Assistant,Central Michigan
2292,Ashley Jetzer,Student Assistant - Video,Central Michigan
2293,Danny Motowski,Student Assistant,Central Michigan
2294,Zach Winter,Student Assistant- Video,Central Michigan
2411,Biff Poggi,Head Coach,Charlotte
2412,Kyle DeVan,Associate Head Coach; Offensive Line; Run-Game Coordinator,Charlotte
2413,Mike Miller,Offensive Coordinator / Quarterbacks Coach,Charlotte
2414,Ryan Osborn,Defensive Coordinator / Outside Linebackers Coach,Charlotte
2415,Wayne Dorsey,Defensive Line Coach,Charlotte
2416,Greg Froelich,Special Teams Coordinator / Running Backs Coach,Charlotte
2417,Mike Hartline,Passing Game Coordinator / Receivers Coach,Charlotte
2418,Greer Martini,Linebackers Coach,Charlotte
2419,John Morookian,Offensive Tackles; Tight Ends Coach,Charlotte
2420,Rod Ojong,Defensive Backs Coach,Charlotte
2421,Justin Sanders,Safeties Coach,Charlotte
2422,Jonathon Jacobson,Ass't Head Coach and Senior Advisor,Charlotte
2423,Jason Barnes,Offensive Analyst,Charlotte
2424,Steve Comuntzis,Special Teams Quality Control & Defensive Analyst,Charlotte
2425,Kevin Gilbride,Offensive Analyst,Charlotte
2426,Mark Hogan,Defensive Analyst,Charlotte
2427,Brent Kasabian,Defensive Analyst,Charlotte
2428,Austin Gilbert,Defensive Assistant,Charlotte
2429,Jerry Prutos,Offensive Assistant,Charlotte
2430,Ayeobele Randolph,Defensive Assistant,Charlotte
2431,Dylan Ratliff,Offensive Assistant,Charlotte
2432,Lewis Caralla,Director of Strength & Conditioning,Charlotte
2433,Cory Sullivan,Assistant Director of Football Strength & Conditioning,Charlotte
2434,Corey Bell Jr.,Football Performance Assistant Coach,Charlotte
2435,Nick Raszeja,Football Performance Assistant Coach,Charlotte
2436,Tony Cordova,Director of Sports Medicine / Head Football Athletic Trainer,Charlotte
2437,Kenny Cabe,Assistant Athletic Trainer - Football,Charlotte
2438,Nick Decker,Director of Football Operations,Charlotte
2439,Aly Cramond,Director of Football Relations,Charlotte
2440,Jonathan Herd-Bond,Director of Player Personnel,Charlotte
2441,LaFayette Stewart,Director of Player Development,Charlotte
2442,Jackson Block,Recruiting Coordinator,Charlotte
2443,Keith Emery,Director of High School Relations,Charlotte
2444,Greg Gamble,Assistant to the Head Coach - Recruiting & Operations,Charlotte
2445,Will Matzke,Director of Football Equipment,Charlotte
2446,Spencer Matlock,Assistant Director of Football Equipment,Charlotte
2447,Joshua Hansen,Director of Video Services and Football Technology,Charlotte
2448,Joe Mitchell,Director of Creative Media,Charlotte
2449,Jaelyn Shipman,Performance Dietitian,Charlotte
2542,Scott Satterfield,Head Coach,Cincinnati
2543,Bryan Brown,Associate Head Coach / Defensive Coordinator,Cincinnati
2544,Brad Glenn,Offensive Coordinator / Wide Receivers,Cincinnati
2545,Kerry Coombs,Special Teams Coordinator / Cornerbacks,Cincinnati
2546,Nate Fuqua,Co-Defensive Coordinator / Outside Linebackers,Cincinnati
2547,Cortney Braswell,Assistant Coach / Inside Linebackers,Cincinnati
2548,Nic Cardwell,Assistant Coach / Offensive Line,Cincinnati
2549,Walter Stewart,Assistant Coach / Defensive Line,Cincinnati
2550,De'Rail Sims,Assistant Coach / Running Backs,Cincinnati
2551,Josh Stepp,Assistant Coach / Tight Ends,Cincinnati
2552,Pete Thomas,Assistant Coach / Quarterbacks,Cincinnati
2553,Mark Speir,Chief of Staff,Cincinnati
