,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Letters,Image,Name,Title
60,,,Witt Mitchum,OL,6-6,295.0,R-So.,"McKenzie, Tenn. / McKenzie",Kansas State University,0.0,,,
61,,43.0,Keldan Moore,DL,5-9,249.0,R-So.,"Gallatin, Tenn. / Station Camp",,3.0,,,
62,,46.0,Myles Murphy,RB,5-8,193.0,R-Fr.,"Pensacola, Fla. / Booker T. Washington",,0.0,,,
63,,28.0,Shaun Myers,LB,6-1,208.0,Jr.,"Dayton, Ohio / Northmont",Hocking Technical College,1.0,,,
64,,,Makenly Newbill,DL,6-1,255.0,5th,"Rincon, Ga. / South Effingham",Savannah State University,0.0,,,
65,,,Nathan Ogletree,PK,6-2,170.0,R-Fr.,"Harvest, Ala. / Excalibur Christian",,0.0,,,
66,,48.0,Philip Ossai,DK,6-0,258.0,Sr.,"Conroe, Texas / Oak Ridge",Houston Baptist University,1.0,,,
67,,,Erin Outley,TE,6-4,255.0,R-So.,"Little Rock, Ark. / Parkview",University of Arkansas,0.0,,,
68,,15.0,Jacob Peters,CB,6-0,174.0,Jr.,"Muscle Shoals, Ala. / Muscle Shoals",Samford University,1.0,,,
69,,35.0,A.J. Phillips,LB,6-0,225.0,Jr.,"Mobile, Ala. / Chickasaw",University of South Alabama,1.0,,,
70,,38.0,Garrick Ponder,LB,6-2,229.0,R-Fr.,"Largo, Fla. / Pinellas Park",,0.0,,,
71,,32.0,Maleek Pope,RB,5-9,197.0,R-Fr.,"Sylacauga, Ala. / Sylacauga",,0.0,,,
72,,,Jaylen Powell,DB,5-11,190.0,So.,"Memphis, Tenn. / St. Benedict",Northwest Mississippi Community College,0.0,,,
73,,89.0,Kenny Rawls,TE,6-3,228.0,R-Jr.,"Franklin, Tenn. / Battle Ground Academy",,4.0,,,
74,,,Gregory Reddick,DB,5-11,195.0,R-Jr.,"Miami, Fla. / Carol City",Saint Francis University,0.0,,,
75,,,Jack Rice,SP,6-1,165.0,Fr.,"Harvest, Ala. / Sparkman",,0.0,,,
76,,,Aidan Robinson,LB,6-2,216.0,R-So.,"Vestavia Hills, Ala. / Vestavia Hills",,2.0,,,
77,,40.0,Scott Robinson,K,5-11,178.0,R-So.,"Iuka, Miss. / Tishomingo County",,2.0,,,
78,,9.0,E.J. Rogers,WR,5-11,178.0,R-Jr.,"Wetumpka, Ala. / Wetumpka",,4.0,,,
79,,74.0,Gage Saint,OL,6-4,289.0,Jr.,Hatton / Troy University,,1.0,,,
80,,,A.J. Seay,DB,6-0,185.0,R-So.,"Decatur, Ga. / Southwest Dekalb",Presbyterian College,0.0,,,
81,,,Ryan Shoop,WR,6-3,178.0,R-Fr.,"Trussville, Ala. / Hewitt-Trussville",,0.0,,,
82,,2.0,Allen Smith,DB,5-9,170.0,R-Jr.,"Culver City, Calif. / Culver City",Univ. of Wyoming / College of the Canyons,1.0,,,
83,,,"Tyrese ""T.J."" Smith",QB,6-2,200.0,R-Jr.,"Fort Lauderdale, Fla. / McArthur",Florida Atlantic University,0.0,,,
84,,76.0,Fau Tai'Vai,OL,6-2,340.0,Jr.,"Melbourne, Australia / Grace Brethren",New Mexico Military Institute,1.0,,,
85,,83.0,Nikki Taylor,WR,5-9,159.0,R-Fr.,"Luverne, Ala. / Luverne",,0.0,,,
86,,56.0,Trenton Townsend,DL,6-4,258.0,Jr.,"Kennesaw, Ga. / Kennesaw Mountain",Hutchinson (Kan.) Community College,1.0,,,
87,,3.0,K.J. Trujillo,DB,6-0,180.0,R-Jr.,"Los Angeles, Calif. / Orange Lutheran",University of Colordao / Wake Forest University,1.0,,,
88,,6.0,Noah Walters,QB,6-0,190.0,So.,"Lincoln, Neb. / Lincoln East",,1.0,,,
89,,14.0,Kobe Warden,WR,5-9,155.0,R-Jr.,"Killen, Ala. / Brooks",,3.0,,,
90,,19.0,Dakota Warfield,WR,6-1,197.0,Sr.,"Alpharetta, Ga. / Milton",Mt. San Antonio College,1.0,,,
91,,73.0,Edgerrin Watson,OL,6-2,270.0,R-Fr.,"Huntsville, Ala. / James Clemens",,0.0,,,
92,,,Edwin White Schultz,DB,6-1,205.0,R-So.,"Mobile, Ala. / Baker",University of Kansas,0.0,,,
93,,21.0,Ashaad Williams,LB,6-2,178.0,R-So.,"Russellville, Ala. / Russellville",,2.0,,,
94,,,Grant Wisdom,DL,5-11,278.0,R-Jr.,"Muscle Shoals, Ala. / Deshler",Austin Peay State University,0.0,,,
95,,13.0,Barry Womack,DB,6-2,187.0,Sr.,"Montgomery, Ala. / Autauga Academy",Trinity Valley Community College,1.0,,,
96,,12.0,Jaquan Woods,WR,5-8,164.0,R-So.,"Gadsden, Ala. / Gadsden City",,2.0,,,
97,,68.0,Collin Wright,OL,6-3,308.0,R-Fr.,"Muscle Shoals, Ala. / Muscle Shoals",,0.0,,,
98,,65.0,Stevie Young,OL,6-4,293.0,Sr.,"Ft. Smith, Ark. / Northside",Hutchinson Community College,1.0,,,
0,,,,,,,,,,,,Brent Dearmon,Head Football Coach
1,,,,,,,,,,,,Brock Caraboa,Assistant Head Coach / Defensive Coordinator
2,,,,,,,,,,,,Kevin Wewers,Assistant Coach / Offensive Coordinator / Tight Ends
3,,,,,,,,,,,,Caleb Carbine,Assistant Football Coach / Offensive Line
4,,,,,,,,,,,,Morgan Cruce,Assistant Coach / Running Backs / Director of Football Operations
5,,,,,,,,,,,,Marc St. Felix,Assistant Coach / Defensive Backs
6,,,,,,,,,,,,DeShaun Davis,Assistant Coach / Linebackers
7,,,,,,,,,,,,Jake Bentley,Assistant Coach / Quarterbacks / Video Coordinator
8,,,,,,,,,,,,Samie Parker,Assistant Coach / Wide Receivers
9,,,,,,,,,,,,Luke Roth,Assistant Coach / Special Teams Coordinator / Nickels
10,,,,,,,,,,,,Thomas Johnston,Assistant Coach / Defensive Line
11,,,,,,,,,,,,Edward Krajewski,Graduate Assistant / Offense
12,,,,,,,,,,,,Kade Glenn,Graduate Assistant / Defense
13,,,,,,,,,,,,Hayden Bryant,Student Assistant / Offense
0,,,,,,,,,,,,Josh Penny,"Associate Athletic Director for Sports Medicine(Football, Men's Golf)"
1,,,,,,,,,,,,Steve Herring,"Head Strength & Conditioning Coordinator(Football, Softball, M/W Tennis)"
2,,,,,,,,,,,,Erin McFry,Assistant Director of Football Operations
3,,,,,,,,,,,,Logan Ellis,Head Football Equipment Manager
